,System,Score
rank 1,refB,2.2732182772850984
rank 2,refA,1.4619013445542883
rank 3,chrf_bestmbr,0.9561189180287395
rank 4,bleurt_bestmbr,0.9493897608691565
rank 5,bleu_bestmbr,0.9442615285178043
rank 6,Online-G,0.9320130049259213
rank 7,Lan-Bridge,0.9245644349281825
rank 8,JDExploreAcademy,0.9242520185937344
rank 9,LanguageX,0.9203310007119194
rank 10,Online-B,0.9179596816186186
rank 11,comet_bestmbr,0.9113470482286732
rank 12,AISP-SJTU,0.8969868749629492
rank 13,Online-Y,0.8859522208211296
rank 14,HuaweiTSC,0.8804468486617197
rank 15,Online-A,0.8251161036988996
rank 16,DLUT,0.8095081867941025
rank 17,NiuTrans,0.7956434784255637
rank 18,Online-W,0.7779516241595765
rank 19,M2M100_1.2B-B4,0.6802230598358223
rank 20,QUARTZ_TuneReranking,0.6250494537946003
