,System,Score
rank 1,refB,0.22588552891968136
rank 2,refA,0.1577650146865354
rank 3,comet_bestmbr,0.15545388189576062
rank 4,bleurt_bestmbr,0.1539862195218445
rank 5,chrf_bestmbr,0.15170857806451493
rank 6,Online-G,0.15034592381069828
rank 7,Online-B,0.14602017943644396
rank 8,bleu_bestmbr,0.14599907438745677
rank 9,Lan-Bridge,0.14511603337796936
rank 10,Online-Y,0.1450129664910346
rank 11,QUARTZ_TuneReranking,0.14487667803942061
rank 12,JDExploreAcademy,0.14441992314390126
rank 13,LanguageX,0.1438761200575005
rank 14,HuaweiTSC,0.1426984012117315
rank 15,AISP-SJTU,0.14244828403993653
rank 16,DLUT,0.13874170091553986
rank 17,Online-A,0.13793918625077548
rank 18,NiuTrans,0.13427947019129788
rank 19,Online-W,0.13295538099890916
rank 20,M2M100_1.2B-B4,0.12754573974204134
