,System,Score
rank 1,refA,0.728321084132177
rank 2,bleurt_bestmbr,0.6390529050035737
rank 3,chrf_bestmbr,0.6377345725998017
rank 4,QUARTZ_TuneReranking,0.6362815989916106
rank 5,refB,0.6359824728676219
rank 6,Online-G,0.6335322980154896
rank 7,comet_bestmbr,0.6319693653207689
rank 8,LanguageX,0.63187758362943
rank 9,Online-Y,0.6314913653057848
rank 10,HuaweiTSC,0.6310192207988184
rank 11,DLUT,0.629813588413828
rank 12,JDExploreAcademy,0.6298133059627091
rank 13,AISP-SJTU,0.6296645361179818
rank 14,bleu_bestmbr,0.6294185444644003
rank 15,Online-B,0.6293177570048872
rank 16,Online-A,0.6284271039934697
rank 17,Online-W,0.6235942057482989
rank 18,NiuTrans,0.6216938367377733
rank 19,Lan-Bridge,0.6207001547057793
rank 20,M2M100_1.2B-B4,0.6122540102039844
