,System,Score
rank 1,refA,-0.08815298762498047
rank 2,comet_bestmbr,-0.181401014855958
rank 3,QUARTZ_TuneReranking,-0.18868576512833035
rank 4,bleurt_bestmbr,-0.19754453733384375
rank 5,chrf_bestmbr,-0.21736673649794208
rank 6,DLUT,-0.22889996096834497
rank 7,Online-Y,-0.23230616999671105
rank 8,Online-G,-0.23258157108207822
rank 9,bleu_bestmbr,-0.23302043196612626
rank 10,HuaweiTSC,-0.23508104524919898
rank 11,Online-B,-0.2396923001199988
rank 12,LanguageX,-0.24130415281304674
rank 13,Online-A,-0.24147021508962735
rank 14,Online-W,-0.24319869556326146
rank 15,JDExploreAcademy,-0.24498987233314
rank 16,AISP-SJTU,-0.24547911312269832
rank 17,NiuTrans,-0.2604738518203996
rank 18,M2M100_1.2B-B4,-0.26202917634885925
rank 19,refB,-0.2626104713081299
rank 20,Lan-Bridge,-0.2714694728190503
