,System,Score
rank 1,refA,0.5504080674563836
rank 2,refB,0.3115247216949038
rank 3,JDExploreAcademy,0.2608905040664296
rank 4,LanguageX,0.25980107605738806
rank 5,Online-G,0.2565941319103074
rank 6,AISP-SJTU,0.25581563548261166
rank 7,chrf_bestmbr,0.25534936493193466
rank 8,HuaweiTSC,0.254934880264223
rank 9,bleurt_bestmbr,0.25349168776469033
rank 10,bleu_bestmbr,0.2522767018399135
rank 11,Online-Y,0.2511358895862915
rank 12,Online-B,0.24903680338712436
rank 13,Online-A,0.2484418158875065
rank 14,Lan-Bridge,0.24663299327568025
rank 15,DLUT,0.2438324019449841
rank 16,NiuTrans,0.24183695802794203
rank 17,Online-W,0.2351165388672423
rank 18,comet_bestmbr,0.2321661747019769
rank 19,M2M100_1.2B-B4,0.22143386132454054
rank 20,QUARTZ_TuneReranking,0.2169095640544457
