,System,Score
rank 1,refA,-0.012593283852333397
rank 2,comet_bestmbr,-0.025914430552569725
rank 3,QUARTZ_TuneReranking,-0.02695510894335971
rank 4,bleurt_bestmbr,-0.028220648268959432
rank 5,chrf_bestmbr,-0.03105239089691329
rank 6,DLUT,-0.032699994424049285
rank 7,Online-Y,-0.033186595949046827
rank 8,Online-G,-0.03322593877305735
rank 9,bleu_bestmbr,-0.03328863304392565
rank 10,HuaweiTSC,-0.033583006448489224
rank 11,Online-B,-0.034241757050225384
rank 12,LanguageX,-0.034472021861799367
rank 13,Online-A,-0.03449574474620881
rank 14,Online-W,-0.034742670528156556
rank 15,JDExploreAcademy,-0.034998553723638734
rank 16,AISP-SJTU,-0.035068444982727064
rank 17,NiuTrans,-0.03721054978959518
rank 18,M2M100_1.2B-B4,-0.03743273910203894
rank 19,refB,-0.03751578147430857
rank 20,Lan-Bridge,-0.03878135313440783
