,System,Score
rank 1,refB,0.7626812201578428
rank 2,refA,0.6565726187311712
rank 3,chrf_bestmbr,0.6276211654514878
rank 4,Online-G,0.6273540074792542
rank 5,LanguageX,0.6251738150390312
rank 6,JDExploreAcademy,0.6238337789469561
rank 7,AISP-SJTU,0.6234698663019114
rank 8,Online-Y,0.6213124451688202
rank 9,HuaweiTSC,0.6208414936394278
rank 10,Online-A,0.6204836278583276
rank 11,bleurt_bestmbr,0.6202442446223859
rank 12,DLUT,0.6190821608446775
rank 13,Online-B,0.6187972382297735
rank 14,bleu_bestmbr,0.6174100204249091
rank 15,QUARTZ_TuneReranking,0.6163265897090897
rank 16,NiuTrans,0.6139478738489288
rank 17,Lan-Bridge,0.6126873476243353
rank 18,Online-W,0.611744473215165
rank 19,M2M100_1.2B-B4,0.6028899683438086
rank 20,comet_bestmbr,0.6005758728705575
