,System,Score
rank 1,comet_bestmbr,1.7141720702550496
rank 2,bleurt_bestmbr,1.71409355945209
rank 3,chrf_bestmbr,1.7003756755490924
rank 4,QUARTZ_TuneReranking,1.693050223618126
rank 5,Online-G,1.6855208571526827
rank 6,Online-Y,1.6814420390012406
rank 7,HuaweiTSC,1.6813881806108015
rank 8,LanguageX,1.6807196171319676
rank 9,JDExploreAcademy,1.6805977920889934
rank 10,DLUT,1.6795690157280365
rank 11,AISP-SJTU,1.6738130621690268
rank 12,bleu_bestmbr,1.668777453908507
rank 13,Online-A,1.6664438684383494
rank 14,refB,1.6652482815074836
rank 15,Online-B,1.6652390501976735
rank 16,Online-W,1.6523235745421525
rank 17,NiuTrans,1.6454655612805078
rank 18,Lan-Bridge,1.6360918608207626
rank 19,refA,1.6293297421183859
rank 20,M2M100_1.2B-B4,1.6212899707991464
