,System,Score
rank 1,refB,1.8139932671392642
rank 2,refA,1.062642432659603
rank 3,JDExploreAcademy,0.769119017324114
rank 4,LanguageX,0.7625662175479251
rank 5,AISP-SJTU,0.7514892463377161
rank 6,Online-G,0.7486697784521515
rank 7,HuaweiTSC,0.7440375652507172
rank 8,bleurt_bestmbr,0.7434374225999467
rank 9,chrf_bestmbr,0.7429903298212044
rank 10,bleu_bestmbr,0.7338307801485161
rank 11,Online-Y,0.7266276388982172
rank 12,Online-B,0.7172254228691458
rank 13,Online-A,0.7152845951318674
rank 14,Lan-Bridge,0.707725704801651
rank 15,DLUT,0.7058422772970806
rank 16,NiuTrans,0.6967355051455818
rank 17,comet_bestmbr,0.6847095153650616
rank 18,Online-W,0.6679602946212985
rank 19,M2M100_1.2B-B4,0.6239216324581922
rank 20,QUARTZ_TuneReranking,0.5928592327318293
