,System,Score
rank 1,comet_bestmbr,0.24488172405276498
rank 2,bleurt_bestmbr,0.24487050847631917
rank 3,chrf_bestmbr,0.24291081087691024
rank 4,QUARTZ_TuneReranking,0.2418643179122806
rank 5,Online-G,0.2407886937947719
rank 6,Online-Y,0.24020600563895203
rank 7,HuaweiTSC,0.24019831136429978
rank 8,LanguageX,0.24010280249793364
rank 9,JDExploreAcademy,0.24008539903822176
rank 10,DLUT,0.23993843054890604
rank 11,AISP-SJTU,0.23911615180577867
rank 12,bleu_bestmbr,0.2383967789445846
rank 13,Online-A,0.2380634102483306
rank 14,refB,0.2378926113240317
rank 15,Online-B,0.23789129295272812
rank 16,Online-W,0.2360462249345932
rank 17,NiuTrans,0.2350665087375217
rank 18,Lan-Bridge,0.23372740850347823
rank 19,refA,0.23276139154599587
rank 20,M2M100_1.2B-B4,0.23161285295447007
