,System,Score
rank 1,refA,3.9389538972219498
rank 2,JDExploreAcademy,2.019631373638245
rank 3,LanguageX,1.9120392074598898
rank 4,AISP-SJTU,1.8413700505787407
rank 5,Online-G,1.8231605031362759
rank 6,bleu_bestmbr,1.8048036588422884
rank 7,chrf_bestmbr,1.7933848609441978
rank 8,Online-B,1.777087483882906
rank 9,HuaweiTSC,1.7719296142863143
rank 10,bleurt_bestmbr,1.7689589993505257
rank 11,Lan-Bridge,1.753536735763948
rank 12,Online-Y,1.698371350014186
rank 13,Online-A,1.6650663006280841
rank 14,NiuTrans,1.6258064018591778
rank 15,DLUT,1.5875164926965264
rank 16,comet_bestmbr,1.557928932426992
rank 17,Online-W,1.5121175338554824
rank 18,refB,1.4371202990566636
rank 19,M2M100_1.2B-B4,1.4094792243747887
rank 20,QUARTZ_TuneReranking,1.3970605363316926
