,System,Score
rank 1,refB,0.8959295415668385
rank 2,refA,0.47218464863555243
rank 3,chrf_bestmbr,0.46400302060852966
rank 4,Online-G,0.46170965052979734
rank 5,JDExploreAcademy,0.46097854263307003
rank 6,LanguageX,0.46044689080214657
rank 7,bleurt_bestmbr,0.45963482432075825
rank 8,AISP-SJTU,0.45908758229509683
rank 9,bleu_bestmbr,0.45674967414385087
rank 10,Online-B,0.4541294319321709
rank 11,HuaweiTSC,0.45352128802600744
rank 12,Lan-Bridge,0.45212174367420577
rank 13,Online-Y,0.44943589412036705
rank 14,Online-A,0.4454904735289619
rank 15,NiuTrans,0.44369328974148026
rank 16,DLUT,0.440586301408887
rank 17,comet_bestmbr,0.4396883181664193
rank 18,Online-W,0.4360829462668428
rank 19,QUARTZ_TuneReranking,0.4244866525348036
rank 20,M2M100_1.2B-B4,0.41910937560879086
