,System,Score
rank 1,refB,0.7362281008893544
rank 2,chrf_bestmbr,0.6233850662699147
rank 3,bleurt_bestmbr,0.6232109790402638
rank 4,refA,0.6205460771970698
rank 5,Online-G,0.6184900694761073
rank 6,comet_bestmbr,0.6161927991554504
rank 7,LanguageX,0.6129150570302269
rank 8,Online-Y,0.6122281314689257
rank 9,bleu_bestmbr,0.6118803827313704
rank 10,JDExploreAcademy,0.6103616450509737
rank 11,AISP-SJTU,0.6100462919419148
rank 12,HuaweiTSC,0.609094879887741
rank 13,Online-B,0.6090513057549182
rank 14,Lan-Bridge,0.6054481377521606
rank 15,DLUT,0.6028989340845134
rank 16,Online-A,0.601902054946187
rank 17,Online-W,0.599201182393501
rank 18,NiuTrans,0.5990700102580483
rank 19,QUARTZ_TuneReranking,0.5979231001995
rank 20,M2M100_1.2B-B4,0.5801439687550428
