,System,Score
rank 1,refB,3.926795133650078
rank 2,refA,1.4314909285950366
rank 3,JDExploreAcademy,1.368780099826754
rank 4,AISP-SJTU,1.3578404263045043
rank 5,LanguageX,1.3513794196794073
rank 6,chrf_bestmbr,1.3432222823031013
rank 7,Online-G,1.3355160841950904
rank 8,bleu_bestmbr,1.330633025780266
rank 9,bleurt_bestmbr,1.330600711973501
rank 10,Lan-Bridge,1.3153995887433454
rank 11,Online-B,1.2970744688505529
rank 12,HuaweiTSC,1.2935115461559414
rank 13,Online-Y,1.249882074067889
rank 14,Online-A,1.2354130194585329
rank 15,NiuTrans,1.2234670845457964
rank 16,comet_bestmbr,1.2060216773216705
rank 17,DLUT,1.189863372889587
rank 18,Online-W,1.1518771321901227
rank 19,M2M100_1.2B-B4,1.068577021735795
rank 20,QUARTZ_TuneReranking,1.0449934156179699
