,System,Score
rank 1,refB,0.5644179273419464
rank 2,refA,0.23352696983995935
rank 3,JDExploreAcademy,0.22499781246378678
rank 4,chrf_bestmbr,0.2246773373679007
rank 5,LanguageX,0.22379017503837192
rank 6,AISP-SJTU,0.22377264800287416
rank 7,bleurt_bestmbr,0.22375325819441252
rank 8,Online-G,0.22305734319431256
rank 9,bleu_bestmbr,0.22115031517905734
rank 10,Lan-Bridge,0.21894548588306936
rank 11,Online-B,0.21745918466038955
rank 12,HuaweiTSC,0.21682346537094785
rank 13,Online-Y,0.21335609537150074
rank 14,comet_bestmbr,0.2097019085449466
rank 15,Online-A,0.2096376983098402
rank 16,NiuTrans,0.2079708876078699
rank 17,DLUT,0.20542665211624353
rank 18,Online-W,0.20025711433354457
rank 19,QUARTZ_TuneReranking,0.18979897453621217
rank 20,M2M100_1.2B-B4,0.18899510593047736
