metric,System Accuracy,Pearson,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.75,0.507,en-de,conversation,en-de.refA.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refA.txt-conversation/results.csv,"{'Online-B': 0.6856959682825784, 'bleurt_bestmbr': 0.7114363619490057, 'M2M100_1.2B-B4': 0.4261382447530646, 'Online-G': 0.6623615952899433, 'PROMT': 0.6254321184742442, 'Online-W': 0.6975813437030027, 'OpenNMT': 0.6884649831374476, 'Lan-Bridge': 0.688576099845727, 'refA': 1.6688579219924518, 'Online-A': 0.6938607481381401, 'refB': 0.759263277272232, 'QUARTZ_TuneReranking': 0.5954077804743982, 'Online-Y': 0.6383283285680035, 'bleu_bestmbr': 0.6982207914702748, 'comet_bestmbr': 0.7040263841559818, 'JDExploreAcademy': 0.6891970909883707}"
BLEU,0.733,0.389,en-de,conversation,en-de.refA.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refA.txt-conversation/results.csv,"{'Online-B': 0.4283335568061009, 'bleurt_bestmbr': 0.3854838750083283, 'M2M100_1.2B-B4': 0.3231006441095286, 'Online-G': 0.3980775776693141, 'PROMT': 0.3937123088037077, 'Online-W': 0.4089330853701537, 'OpenNMT': 0.3892309856881102, 'Lan-Bridge': 0.4061521257393113, 'refA': 1.0000000000000004, 'Online-A': 0.4026714054263198, 'refB': 0.3890035426149976, 'QUARTZ_TuneReranking': 0.3461226466181394, 'Online-Y': 0.3999043742432356, 'bleu_bestmbr': 0.4371520190461019, 'comet_bestmbr': 0.3901152389747584, 'JDExploreAcademy': 0.407824025657329}"
chrF,0.758,0.478,en-de,conversation,en-de.refA.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refA.txt-conversation/results.csv,"{'Online-B': 0.6774574831517731, 'bleurt_bestmbr': 0.6538270044407222, 'M2M100_1.2B-B4': 0.5828985366694456, 'Online-G': 0.6593195948979911, 'PROMT': 0.6460133013471444, 'Online-W': 0.6651737519913129, 'OpenNMT': 0.6418204330806684, 'Lan-Bridge': 0.6728502754659048, 'refA': 1.0, 'Online-A': 0.6703149121773704, 'refB': 0.6548360269396931, 'QUARTZ_TuneReranking': 0.6192617657767681, 'Online-Y': 0.6587995190275453, 'bleu_bestmbr': 0.6794439314901026, 'comet_bestmbr': 0.6526459783154174, 'JDExploreAcademy': 0.6657780195183036}"
ZeroEdit,0.625,0.284,en-de,conversation,en-de.refA.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refA.txt-conversation/results.csv,"{'Online-B': 0.0495867768595041, 'bleurt_bestmbr': 0.0537190082644628, 'M2M100_1.2B-B4': 0.024793388429752, 'Online-G': 0.03099173553719, 'PROMT': 0.0619834710743801, 'Online-W': 0.0578512396694214, 'OpenNMT': 0.1033057851239669, 'Lan-Bridge': 0.0454545454545454, 'refA': 1.0, 'Online-A': 0.0557851239669421, 'refB': 0.0743801652892562, 'QUARTZ_TuneReranking': 0.03099173553719, 'Online-Y': 0.0371900826446281, 'bleu_bestmbr': 0.0495867768595041, 'comet_bestmbr': 0.0516528925619834, 'JDExploreAcademy': 0.0516528925619834}"
TER,0.767,0.429,en-de,conversation,en-de.refA.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refA.txt-conversation/results.csv,"{'Online-B': -0.4636249326387641, 'bleurt_bestmbr': -0.5119453924914675, 'M2M100_1.2B-B4': -0.5670917909107239, 'Online-G': -0.4853601580743668, 'PROMT': -0.5047601940003592, 'Online-W': -0.4760194000359259, 'OpenNMT': -0.5128435423028561, 'Lan-Bridge': -0.4670379019220406, 'refA': -0.0, 'Online-A': -0.4850008981498114, 'refB': -0.4997305550565834, 'QUARTZ_TuneReranking': -0.5843362672893838, 'Online-Y': -0.5088916831327466, 'bleu_bestmbr': -0.4490749056942698, 'comet_bestmbr': -0.4918268367163642, 'JDExploreAcademy': -0.4760194000359259}"
GLEU,0.825,0.556,en-de,conversation,en-de.refA.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refA.txt-conversation/results.csv,"{'Online-B': 0.733246543189514, 'bleurt_bestmbr': 0.7158646833351309, 'M2M100_1.2B-B4': 0.6327736881004979, 'Online-G': 0.7264611120569117, 'PROMT': 0.7117010749753097, 'Online-W': 0.7289778552523726, 'OpenNMT': 0.7140501025987736, 'Lan-Bridge': 0.7328036509052401, 'refA': 1.0, 'Online-A': 0.7334838034745776, 'refB': 0.7366874714282687, 'QUARTZ_TuneReranking': 0.6930524130208808, 'Online-Y': 0.7092825371498216, 'bleu_bestmbr': 0.7365848117166942, 'comet_bestmbr': 0.718201914397935, 'JDExploreAcademy': 0.7308663453781865}"
BERTScore,0.825,0.508,en-de,conversation,en-de.refA.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refA.txt-conversation/results.csv,"{'Online-B': 0.8894449483510877, 'bleurt_bestmbr': 0.8848342018679154, 'M2M100_1.2B-B4': 0.8548308328902425, 'Online-G': 0.8863665587153317, 'PROMT': 0.8820682820702387, 'Online-W': 0.8860249328465502, 'OpenNMT': 0.8833535252031216, 'Lan-Bridge': 0.8872076574682204, 'refA': 1.0000000046797035, 'Online-A': 0.8875016695704342, 'refB': 0.8905046297745272, 'QUARTZ_TuneReranking': 0.8738233524659449, 'Online-Y': 0.8797653335923991, 'bleu_bestmbr': 0.8897864107996964, 'comet_bestmbr': 0.8831059328041786, 'JDExploreAcademy': 0.8887895711443641}"
Average,0.8,0.432,en-de,conversation,en-de.refA.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refA.txt-conversation/universal_results.csv,"{'Online-B': 0.5938989085515007, 'bleurt_bestmbr': 0.5767859373427993, 'M2M100_1.2B-B4': 0.5091963459521821, 'Online-G': 0.5781481740639062, 'PROMT': 0.5719191862153634, 'Online-W': 0.5885331624207694, 'OpenNMT': 0.580449968708644, 'Lan-Bridge': 0.5888169147191492, 'refA': 1.0, 'Online-A': 0.5873837700764147, 'refB': 0.5893304170894679, 'QUARTZ_TuneReranking': 0.5395170766238199, 'Online-Y': 0.5707449039726978, 'bleu_bestmbr': 0.5989413485647096, 'comet_bestmbr': 0.5794154732022714, 'JDExploreAcademy': 0.5876414285312037}"
Median,0.758,0.478,en-de,conversation,en-de.refA.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refA.txt-conversation/universal_results.csv,"{'Online-B': 0.6774574831517731, 'bleurt_bestmbr': 0.6538270044407222, 'M2M100_1.2B-B4': 0.5828985366694456, 'Online-G': 0.6593195948979911, 'PROMT': 0.6460133013471444, 'Online-W': 0.6651737519913129, 'OpenNMT': 0.6418204330806684, 'Lan-Bridge': 0.6728502754659048, 'refA': 1.0, 'Online-A': 0.6703149121773704, 'refB': 0.6548360269396931, 'QUARTZ_TuneReranking': 0.6192617657767681, 'Online-Y': 0.6587995190275453, 'bleu_bestmbr': 0.6794439314901026, 'comet_bestmbr': 0.6526459783154174, 'JDExploreAcademy': 0.6657780195183036}"
Social Choice Theory,0.833,0.744,en-de,conversation,en-de.refA.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refA.txt-conversation/universal_results.csv,"{'Online-B': 83.0, 'bleurt_bestmbr': 53.0, 'M2M100_1.2B-B4': 13.0, 'Online-G': 55.0, 'PROMT': 43.0, 'Online-W': 76.0, 'OpenNMT': 46.0, 'Lan-Bridge': 74.0, 'refA': 119.0, 'Online-A': 79.0, 'refB': 81.0, 'QUARTZ_TuneReranking': 18.0, 'Online-Y': 40.0, 'bleu_bestmbr': 96.0, 'comet_bestmbr': 55.0, 'JDExploreAcademy': 76.0}"
