metric,System Accuracy,Pearson,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.758,0.495,en-de,conversation,en-de.refB.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refB.txt-conversation/results.csv,"{'Online-B': 0.6812631572637138, 'bleurt_bestmbr': 0.6849777121905022, 'M2M100_1.2B-B4': 0.3991193958232949, 'Online-G': 0.6250327198471767, 'PROMT': 0.5660063040631338, 'Online-W': 0.6760560369132518, 'OpenNMT': 0.6559942861228089, 'Lan-Bridge': 0.6770322966660673, 'refA': 0.7467445562928453, 'Online-A': 0.6521580657221315, 'refB': 1.664235922423276, 'QUARTZ_TuneReranking': 0.5654051905663392, 'Online-Y': 0.6331018694178085, 'bleu_bestmbr': 0.6774887911646342, 'comet_bestmbr': 0.6695265017992486, 'JDExploreAcademy': 0.6681180904188371}"
BLEU,0.733,0.348,en-de,conversation,en-de.refB.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refB.txt-conversation/results.csv,"{'Online-B': 0.4314596494402521, 'bleurt_bestmbr': 0.3708876593928044, 'M2M100_1.2B-B4': 0.3352355083091601, 'Online-G': 0.4049472648054021, 'PROMT': 0.3787100923680402, 'Online-W': 0.3950127092937303, 'OpenNMT': 0.3894122196597452, 'Lan-Bridge': 0.4156006104346371, 'refA': 0.390203280402261, 'Online-A': 0.40781622879049, 'refB': 1.0000000000000004, 'QUARTZ_TuneReranking': 0.3526436902780366, 'Online-Y': 0.4013532252652415, 'bleu_bestmbr': 0.4244185754221778, 'comet_bestmbr': 0.3566184572921363, 'JDExploreAcademy': 0.4170357825032691}"
chrF,0.75,0.456,en-de,conversation,en-de.refB.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refB.txt-conversation/results.csv,"{'Online-B': 0.674220112349662, 'bleurt_bestmbr': 0.6398213959873746, 'M2M100_1.2B-B4': 0.5752009309319577, 'Online-G': 0.6568168861288384, 'PROMT': 0.6268720050183226, 'Online-W': 0.6523796635382334, 'OpenNMT': 0.6334740000050172, 'Lan-Bridge': 0.671236195840821, 'refA': 0.6472087375606139, 'Online-A': 0.6613176206299889, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.6141495141110856, 'Online-Y': 0.655499522901616, 'bleu_bestmbr': 0.6704737202248015, 'comet_bestmbr': 0.6330033920488036, 'JDExploreAcademy': 0.6607798330757103}"
ZeroEdit,0.742,0.273,en-de,conversation,en-de.refB.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refB.txt-conversation/results.csv,"{'Online-B': 0.0495867768595041, 'bleurt_bestmbr': 0.0330578512396694, 'M2M100_1.2B-B4': 0.018595041322314, 'Online-G': 0.0289256198347107, 'PROMT': 0.0413223140495867, 'Online-W': 0.0516528925619834, 'OpenNMT': 0.0516528925619834, 'Lan-Bridge': 0.0475206611570247, 'refA': 0.0743801652892562, 'Online-A': 0.0413223140495867, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.0206611570247933, 'Online-Y': 0.0392561983471074, 'bleu_bestmbr': 0.0413223140495867, 'comet_bestmbr': 0.0392561983471074, 'JDExploreAcademy': 0.0413223140495867}"
TER,0.758,0.402,en-de,conversation,en-de.refB.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refB.txt-conversation/results.csv,"{'Online-B': -0.4721631205673758, 'bleurt_bestmbr': -0.5221631205673759, 'M2M100_1.2B-B4': -0.574645390070922, 'Online-G': -0.4955673758865248, 'PROMT': -0.5234042553191489, 'Online-W': -0.4992907801418439, 'OpenNMT': -0.5113475177304965, 'Lan-Bridge': -0.4710992907801418, 'refA': -0.4939716312056738, 'Online-A': -0.4948581560283688, 'refB': -0.0, 'QUARTZ_TuneReranking': -0.5882978723404255, 'Online-Y': -0.5143617021276595, 'bleu_bestmbr': -0.4617021276595744, 'comet_bestmbr': -0.526595744680851, 'JDExploreAcademy': -0.4843971631205674}"
GLEU,0.825,0.555,en-de,conversation,en-de.refB.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refB.txt-conversation/results.csv,"{'Online-B': 0.7372444102026122, 'bleurt_bestmbr': 0.7146203265926031, 'M2M100_1.2B-B4': 0.6266688500962175, 'Online-G': 0.7218873375608812, 'PROMT': 0.6975633224664326, 'Online-W': 0.7299679209017093, 'OpenNMT': 0.7125410113490095, 'Lan-Bridge': 0.7366130867544233, 'refA': 0.7366874714282687, 'Online-A': 0.7274268141153815, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.6911050796342184, 'Online-Y': 0.70991592094314, 'bleu_bestmbr': 0.736899474938207, 'comet_bestmbr': 0.7118169378215129, 'JDExploreAcademy': 0.7286782031729306}"
BERTScore,0.8,0.484,en-de,conversation,en-de.refB.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refB.txt-conversation/results.csv,"{'Online-B': 0.8844190258378825, 'bleurt_bestmbr': 0.8778867923523769, 'M2M100_1.2B-B4': 0.8500042872980607, 'Online-G': 0.8776456442746249, 'PROMT': 0.8697589380928308, 'Online-W': 0.8823338222405142, 'OpenNMT': 0.8810053545335108, 'Lan-Bridge': 0.8825072153540682, 'refA': 0.8905046298976772, 'Online-A': 0.880360717123205, 'refB': 1.0000000049260036, 'QUARTZ_TuneReranking': 0.8684960814300647, 'Online-Y': 0.8750586311432941, 'bleu_bestmbr': 0.8832059056798288, 'comet_bestmbr': 0.8730328459877613, 'JDExploreAcademy': 0.882091600909706}"
Average,0.8,0.413,en-de,conversation,en-de.refB.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refB.txt-conversation/universal_results.csv,"{'Online-B': 0.5921997761077706, 'bleurt_bestmbr': 0.5652285372989576, 'M2M100_1.2B-B4': 0.5043741322569193, 'Online-G': 0.572453105234503, 'PROMT': 0.5534036526725188, 'Online-W': 0.5785834638358504, 'OpenNMT': 0.5692478719200249, 'Lan-Bridge': 0.5886992324419807, 'refA': 0.5883407045026895, 'Online-A': 0.5784949387916213, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.5344943207744205, 'Online-Y': 0.5690389615973778, 'bleu_bestmbr': 0.5904803226053349, 'comet_bestmbr': 0.5602707625308707, 'JDExploreAcademy': 0.5827956594000077}"
Median,0.75,0.456,en-de,conversation,en-de.refB.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refB.txt-conversation/universal_results.csv,"{'Online-B': 0.674220112349662, 'bleurt_bestmbr': 0.6398213959873746, 'M2M100_1.2B-B4': 0.5752009309319577, 'Online-G': 0.6568168861288384, 'PROMT': 0.6268720050183226, 'Online-W': 0.6523796635382334, 'OpenNMT': 0.6334740000050172, 'Lan-Bridge': 0.671236195840821, 'refA': 0.6472087375606139, 'Online-A': 0.6613176206299889, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.6141495141110856, 'Online-Y': 0.655499522901616, 'bleu_bestmbr': 0.6704737202248015, 'comet_bestmbr': 0.6330033920488036, 'JDExploreAcademy': 0.6607798330757103}"
Social Choice Theory,0.808,0.712,en-de,conversation,en-de.refB.txt-conversation,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.6703370786516852, 'bleurt_bestmbr': -0.7838202247191012, 'M2M100_1.2B-B4': -2.1928089887640465, 'Online-G': -0.6588764044943818, 'PROMT': -1.2714606741573042, 'Online-W': -0.647191011235955, 'OpenNMT': -1.0874157303370788, 'Lan-Bridge': -0.651685393258427, 'refA': -0.41797752808988764, 'Online-A': -0.7606741573033706, 'refB': -0.4570786516853932, 'QUARTZ_TuneReranking': -0.9429213483146068, 'Online-Y': -0.8584269662921354, 'bleu_bestmbr': -0.6739325842696628, 'comet_bestmbr': -0.7137078651685393, 'JDExploreAcademy': -0.6352808988764046}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/conversation/nlp-telescope-scores/en-de-conversation/en-de.refB.txt-conversation/universal_results.csv,"{'Online-B': 102.0, 'bleurt_bestmbr': 53.0, 'M2M100_1.2B-B4': 14.0, 'Online-G': 56.0, 'PROMT': 33.0, 'Online-W': 71.0, 'OpenNMT': 55.0, 'Lan-Bridge': 89.0, 'refA': 86.0, 'Online-A': 68.0, 'refB': 119.0, 'QUARTZ_TuneReranking': 19.0, 'Online-Y': 49.0, 'bleu_bestmbr': 95.0, 'comet_bestmbr': 39.0, 'JDExploreAcademy': 76.0}"
