metrics,system_accuracy,spearman,pearson,kendall,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.8,0.75,0.446,0.6,en-de,ecommerce,en-de.refA.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refA.txt-ecommerce/results.csv,"{'Online-B': 0.6568474650093056, 'bleurt_bestmbr': 0.6079352000895185, 'M2M100_1.2B-B4': 0.5064672562047698, 'Online-G': 0.624135192123435, 'PROMT': 0.5900249385810896, 'Online-W': 0.6423234712921153, 'OpenNMT': 0.5693715622270796, 'Lan-Bridge': 0.6543878378267488, 'refA': 1.5317535943580125, 'Online-A': 0.6240508886080517, 'refB': 0.5945929018947524, 'QUARTZ_TuneReranking': 0.5840819324480967, 'Online-Y': 0.6414758566503396, 'bleu_bestmbr': 0.6476097395010996, 'comet_bestmbr': 0.651578898328128, 'JDExploreAcademy': 0.6221571932256854}"
BERTScore,0.692,0.485,0.437,0.383,en-de,ecommerce,en-de.refA.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refA.txt-ecommerce/results.csv,"{'Online-B': 0.8922145627579599, 'bleurt_bestmbr': 0.8756299917427999, 'M2M100_1.2B-B4': 0.8689168681513588, 'Online-G': 0.8881764013812227, 'PROMT': 0.8831258024809495, 'Online-W': 0.888037999171131, 'OpenNMT': 0.8781591688686947, 'Lan-Bridge': 0.8918042456204036, 'refA': 1.0000000003373848, 'Online-A': 0.8882084509111801, 'refB': 0.880066483200721, 'QUARTZ_TuneReranking': 0.8762139052714941, 'Online-Y': 0.8904757447962491, 'bleu_bestmbr': 0.8914446443881628, 'comet_bestmbr': 0.881898463447139, 'JDExploreAcademy': 0.8871104386617552}"
TER,0.65,0.376,0.359,0.3,en-de,ecommerce,en-de.refA.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refA.txt-ecommerce/results.csv,"{'Online-B': -0.4963486172632587, 'bleurt_bestmbr': -0.5837423680114929, 'M2M100_1.2B-B4': -0.563270681192386, 'Online-G': -0.5055668622051958, 'PROMT': -0.524961091823297, 'Online-W': -0.5177780438165929, 'OpenNMT': -0.5315455524961091, 'Lan-Bridge': -0.4923979408595713, 'refA': -0.0, 'Online-A': -0.5064048844726445, 'refB': -0.5566862205195738, 'QUARTZ_TuneReranking': -0.5625523763917155, 'Online-Y': -0.5085597988746559, 'bleu_bestmbr': -0.4968274871303723, 'comet_bestmbr': -0.5455524961091823, 'JDExploreAcademy': -0.5178977612833713}"
BLEU,0.667,0.379,0.352,0.333,en-de,ecommerce,en-de.refA.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refA.txt-ecommerce/results.csv,"{'Online-B': 0.3840861021404936, 'bleurt_bestmbr': 0.3058888529892047, 'M2M100_1.2B-B4': 0.3181144838155618, 'Online-G': 0.3744009638032905, 'PROMT': 0.3620581732727164, 'Online-W': 0.3633011512154511, 'OpenNMT': 0.3545404661863335, 'Lan-Bridge': 0.3852865265247192, 'refA': 1.0000000000000004, 'Online-A': 0.378636281545072, 'refB': 0.3232539792637073, 'QUARTZ_TuneReranking': 0.3257119119224343, 'Online-Y': 0.3748796626567152, 'bleu_bestmbr': 0.3868372393325973, 'comet_bestmbr': 0.3291850729944663, 'JDExploreAcademy': 0.3677915593057449}"
chrF,0.683,0.488,0.413,0.367,en-de,ecommerce,en-de.refA.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refA.txt-ecommerce/results.csv,"{'Online-B': 0.6533993121866579, 'bleurt_bestmbr': 0.6147517519839316, 'M2M100_1.2B-B4': 0.592974910553265, 'Online-G': 0.644295127558087, 'PROMT': 0.6324153455028059, 'Online-W': 0.6401364982499602, 'OpenNMT': 0.6214959781072241, 'Lan-Bridge': 0.6539539521822475, 'refA': 1.0, 'Online-A': 0.6446418175644372, 'refB': 0.6110499484041229, 'QUARTZ_TuneReranking': 0.6103122710216482, 'Online-Y': 0.6497717037147666, 'bleu_bestmbr': 0.6512524536061853, 'comet_bestmbr': 0.6233775183229956, 'JDExploreAcademy': 0.6403960869241352}"
ZeroEdit,0.658,0.501,0.324,0.38,en-de,ecommerce,en-de.refA.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refA.txt-ecommerce/results.csv,"{'Online-B': 0.0433962264150943, 'bleurt_bestmbr': 0.0283018867924528, 'M2M100_1.2B-B4': 0.0226415094339622, 'Online-G': 0.0283018867924528, 'PROMT': 0.0245283018867924, 'Online-W': 0.030188679245283, 'OpenNMT': 0.0245283018867924, 'Lan-Bridge': 0.0433962264150943, 'refA': 1.0, 'Online-A': 0.0471698113207547, 'refB': 0.0339622641509433, 'QUARTZ_TuneReranking': 0.030188679245283, 'Online-Y': 0.0264150943396226, 'bleu_bestmbr': 0.0377358490566037, 'comet_bestmbr': 0.0245283018867924, 'JDExploreAcademy': 0.0283018867924528}"
GLEU,0.675,0.462,0.42,0.35,en-de,ecommerce,en-de.refA.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refA.txt-ecommerce/results.csv,"{'Online-B': 0.7233874081713271, 'bleurt_bestmbr': 0.6874796422480307, 'M2M100_1.2B-B4': 0.6711136694041302, 'Online-G': 0.7147787555068218, 'PROMT': 0.7062741440327186, 'Online-W': 0.7115835833601569, 'OpenNMT': 0.691442803246085, 'Lan-Bridge': 0.7242708179319552, 'refA': 1.0, 'Online-A': 0.7152282142208509, 'refB': 0.6890589367449163, 'QUARTZ_TuneReranking': 0.6832050729224806, 'Online-Y': 0.719785943773017, 'bleu_bestmbr': 0.7226173665672267, 'comet_bestmbr': 0.6968921225962342, 'JDExploreAcademy': 0.712599094351915}"
weighted-sum-seed-36-trials-1000_-1_1,0.808,0.776,0.534,0.617,en-de,ecommerce,en-de.refA.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refA.txt-ecommerce/universal_metrics/weighted-sum-seed-36-trials-1000_-1_1_ranks_systems.csv,"{'Online-B': -0.0053260799403135, 'bleurt_bestmbr': 0.0318702427276492, 'M2M100_1.2B-B4': -0.0418326419962968, 'Online-G': -0.0188693212324282, 'PROMT': -0.0228304426854757, 'Online-W': 0.003880951012394, 'OpenNMT': -0.0287309776893879, 'Lan-Bridge': -0.0099327157715753, 'refA': 0.2023464562067696, 'Online-A': -0.0172817619572956, 'refB': 0.0056988878233349, 'QUARTZ_TuneReranking': 0.0052736420603899, 'Online-Y': -0.0071745240948483, 'bleu_bestmbr': -0.0083846240253862, 'comet_bestmbr': 0.0351844081934384, 'JDExploreAcademy': -0.0090869613425888}"
weighted-sum-seed-24-trials-1000_-1_1,0.817,0.797,0.456,0.633,en-de,ecommerce,en-de.refA.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refA.txt-ecommerce/universal_metrics/weighted-sum-seed-24-trials-1000_-1_1_ranks_systems.csv,"{'Online-B': 1.203414121624298, 'bleurt_bestmbr': 1.2408278071554326, 'M2M100_1.2B-B4': 1.132704825905745, 'Online-G': 1.178167547888683, 'PROMT': 1.1664806744376643, 'Online-W': 1.2084839420489355, 'OpenNMT': 1.1529926873667455, 'Lan-Bridge': 1.197427298100048, 'refA': 1.7712094747595075, 'Online-A': 1.1849736566655793, 'refB': 1.210446009215535, 'QUARTZ_TuneReranking': 1.2011377265494283, 'Online-Y': 1.1952769990856065, 'bleu_bestmbr': 1.1943269686751776, 'comet_bestmbr': 1.2447783247764967, 'JDExploreAcademy': 1.1891987622081095}"
weighted-mean-seed-36-trials-1000_0_1,0.867,0.885,0.51,0.733,en-de,ecommerce,en-de.refA.txt-ecommerce,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -0.882173913043478, 'bleurt_bestmbr': -0.7234782608695651, 'M2M100_1.2B-B4': -2.9347826086956528, 'Online-G': -1.1652173913043473, 'PROMT': -1.560434782608696, 'Online-W': -0.9313043478260866, 'OpenNMT': -1.7273913043478264, 'Lan-Bridge': -1.0895652173913042, 'refA': -0.5595652173913043, 'Online-A': -1.3534782608695652, 'refB': -1.1673913043478261, 'QUARTZ_TuneReranking': -1.0978260869565215, 'Online-Y': -1.0204347826086955, 'bleu_bestmbr': -0.8178260869565217, 'comet_bestmbr': -1.0091304347826084, 'JDExploreAcademy': -1.197391304347826}",data/wmt22//en-de/domains/ecommerce/nlp-telescope-scores/en-de-ecommerce/en-de.refA.txt-ecommerce/universal_metrics/weighted-mean-seed-36-trials-1000_0_1_ranks_systems.csv,"{'Online-B': 0.6585358548730728, 'bleurt_bestmbr': 0.6636113313117948, 'M2M100_1.2B-B4': 0.6293954631733246, 'Online-G': 0.65116887744882, 'PROMT': 0.6465061614984078, 'Online-W': 0.6586411842472587, 'OpenNMT': 0.6403859895915934, 'Lan-Bridge': 0.656696618280037, 'refA': 0.7980637307926248, 'Online-A': 0.6517982680247508, 'refB': 0.6536029442529625, 'QUARTZ_TuneReranking': 0.6514191252606587, 'Online-Y': 0.6574991202895245, 'bleu_bestmbr': 0.6562508560911424, 'comet_bestmbr': 0.6651333688406074, 'JDExploreAcademy': 0.6539205199449764}"
