metric,System Accuracy,Pearson,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.825,0.434,en-de,news,en-de.refA.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refA.txt-news/results.csv,"{'Online-B': 0.5502629571051179, 'bleurt_bestmbr': 0.5278402065417188, 'M2M100_1.2B-B4': 0.4431765254709046, 'Online-G': 0.5350568308950623, 'PROMT': 0.523054106099943, 'Online-W': 0.5688817002673847, 'OpenNMT': 0.5187173392459633, 'Lan-Bridge': 0.4677655744783711, 'refA': 1.3390542865382715, 'Online-A': 0.5385303660760654, 'refB': 0.4570512510553629, 'QUARTZ_TuneReranking': 0.5281181681223228, 'Online-Y': 0.535137040188824, 'bleu_bestmbr': 0.5623767245734027, 'comet_bestmbr': 0.5365953944803903, 'JDExploreAcademy': 0.5642656048098232}"
BERTScore,0.675,0.409,en-de,news,en-de.refA.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refA.txt-news/results.csv,"{'Online-B': 0.8920249949462726, 'bleurt_bestmbr': 0.8801821336121008, 'M2M100_1.2B-B4': 0.8733214142271217, 'Online-G': 0.8842138005329438, 'PROMT': 0.8881191387335148, 'Online-W': 0.8872338167142029, 'OpenNMT': 0.8874910035245339, 'Lan-Bridge': 0.8774693140545003, 'refA': 0.9999999920682664, 'Online-A': 0.8860216809112265, 'refB': 0.8749532170025103, 'QUARTZ_TuneReranking': 0.8791097577537342, 'Online-Y': 0.8887078379464942, 'bleu_bestmbr': 0.8926415309280799, 'comet_bestmbr': 0.8809386806711992, 'JDExploreAcademy': 0.8948452859941994}"
TER,0.583,0.346,en-de,news,en-de.refA.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refA.txt-news/results.csv,"{'Online-B': -0.4984064088207425, 'bleurt_bestmbr': -0.5617193556723232, 'M2M100_1.2B-B4': -0.5556895512102679, 'Online-G': -0.5146007408045482, 'PROMT': -0.5071065552588508, 'Online-W': -0.519769144629167, 'OpenNMT': -0.5116719786372642, 'Lan-Bridge': -0.5082263760875183, 'refA': -0.0, 'Online-A': -0.5090016366612111, 'refB': -0.5713670428116117, 'QUARTZ_TuneReranking': -0.5467309845809286, 'Online-Y': -0.5076233956413128, 'bleu_bestmbr': -0.4876389008527866, 'comet_bestmbr': -0.5431131019036954, 'JDExploreAcademy': -0.4935825652510983}"
BLEU,0.65,0.363,en-de,news,en-de.refA.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refA.txt-news/results.csv,"{'Online-B': 0.3780850673186356, 'bleurt_bestmbr': 0.3212294763644167, 'M2M100_1.2B-B4': 0.3094079895478288, 'Online-G': 0.3529848990309255, 'PROMT': 0.3642884366258319, 'Online-W': 0.3543331163878402, 'OpenNMT': 0.3673657325177018, 'Lan-Bridge': 0.3399206533870939, 'refA': 1.0000000000000004, 'Online-A': 0.3583299591897306, 'refB': 0.309801439378064, 'QUARTZ_TuneReranking': 0.3213245296108307, 'Online-Y': 0.3679689244529577, 'bleu_bestmbr': 0.384719610149268, 'comet_bestmbr': 0.3226351313271453, 'JDExploreAcademy': 0.3827226953823393}"
chrF,0.658,0.379,en-de,news,en-de.refA.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refA.txt-news/results.csv,"{'Online-B': 0.6564011424142346, 'bleurt_bestmbr': 0.6278495741270383, 'M2M100_1.2B-B4': 0.6095184446607343, 'Online-G': 0.6460010825164185, 'PROMT': 0.6462880377107648, 'Online-W': 0.6524329252779482, 'OpenNMT': 0.6454561578934644, 'Lan-Bridge': 0.6489985654297048, 'refA': 1.0, 'Online-A': 0.6507715156329383, 'refB': 0.6099850427140014, 'QUARTZ_TuneReranking': 0.6256342925327378, 'Online-Y': 0.6462882258637902, 'bleu_bestmbr': 0.6587139445267748, 'comet_bestmbr': 0.6222008819433492, 'JDExploreAcademy': 0.6621728580546125}"
ZeroEdit,0.667,0.325,en-de,news,en-de.refA.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refA.txt-news/results.csv,"{'Online-B': 0.0117416829745596, 'bleurt_bestmbr': 0.0117416829745596, 'M2M100_1.2B-B4': 0.009784735812133, 'Online-G': 0.0058708414872798, 'PROMT': 0.0078277886497064, 'Online-W': 0.0156555772994129, 'OpenNMT': 0.0136986301369863, 'Lan-Bridge': 0.009784735812133, 'refA': 1.0, 'Online-A': 0.009784735812133, 'refB': 0.0078277886497064, 'QUARTZ_TuneReranking': 0.0058708414872798, 'Online-Y': 0.009784735812133, 'bleu_bestmbr': 0.0156555772994129, 'comet_bestmbr': 0.0078277886497064, 'JDExploreAcademy': 0.0215264187866927}"
GLEU,0.667,0.386,en-de,news,en-de.refA.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refA.txt-news/results.csv,"{'Online-B': 0.7340417412027872, 'bleurt_bestmbr': 0.7051774972008199, 'M2M100_1.2B-B4': 0.6936518118733377, 'Online-G': 0.7231274055706816, 'PROMT': 0.7267722047738578, 'Online-W': 0.7268927309200853, 'OpenNMT': 0.7180898466374536, 'Lan-Bridge': 0.7171070479688204, 'refA': 1.0, 'Online-A': 0.7258368862491097, 'refB': 0.689087891249137, 'QUARTZ_TuneReranking': 0.7068918480039851, 'Online-Y': 0.7241957812442648, 'bleu_bestmbr': 0.7365261867321634, 'comet_bestmbr': 0.7066716303885596, 'JDExploreAcademy': 0.7381275816998493}"
Average,0.675,0.367,en-de,news,en-de.refA.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refA.txt-news/universal_results.csv,"{'Online-B': 0.5641456712269008, 'bleurt_bestmbr': 0.5354830159824959, 'M2M100_1.2B-B4': 0.5230833010923343, 'Online-G': 0.5521608148258903, 'PROMT': 0.5553880148978281, 'Online-W': 0.5573171245862878, 'OpenNMT': 0.5542554373851225, 'Lan-Bridge': 0.5455623896862741, 'refA': 0.9999999988668952, 'Online-A': 0.5558583320245656, 'refB': 0.5212591373870699, 'QUARTZ_TuneReranking': 0.5365941955526857, 'Online-Y': 0.5566986613961056, 'bleu_bestmbr': 0.5688294730099448, 'comet_bestmbr': 0.537922672616637, 'JDExploreAcademy': 0.5697064395816438}"
Median,0.658,0.379,en-de,news,en-de.refA.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refA.txt-news/universal_results.csv,"{'Online-B': 0.6564011424142346, 'bleurt_bestmbr': 0.6278495741270383, 'M2M100_1.2B-B4': 0.6095184446607343, 'Online-G': 0.6460010825164185, 'PROMT': 0.6462880377107648, 'Online-W': 0.6524329252779482, 'OpenNMT': 0.6454561578934644, 'Lan-Bridge': 0.6489985654297048, 'refA': 1.0, 'Online-A': 0.6507715156329383, 'refB': 0.6099850427140014, 'QUARTZ_TuneReranking': 0.6256342925327378, 'Online-Y': 0.6462882258637902, 'bleu_bestmbr': 0.6587139445267748, 'comet_bestmbr': 0.6222008819433492, 'JDExploreAcademy': 0.6621728580546125}"
Social Choice Theory,0.675,0.538,en-de,news,en-de.refA.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refA.txt-news/universal_results.csv,"{'Online-B': 94.0, 'bleurt_bestmbr': 37.0, 'M2M100_1.2B-B4': 21.0, 'Online-G': 54.0, 'PROMT': 68.0, 'Online-W': 78.0, 'OpenNMT': 60.0, 'Lan-Bridge': 50.0, 'refA': 119.0, 'Online-A': 70.0, 'refB': 21.0, 'QUARTZ_TuneReranking': 38.0, 'Online-Y': 74.0, 'bleu_bestmbr': 104.0, 'comet_bestmbr': 44.0, 'JDExploreAcademy': 107.0}"
