metric,System Accuracy,Pearson,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.817,0.507,en-de,social,en-de.refA.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refA.txt-social/results.csv,"{'Online-B': 0.4328679011914573, 'bleurt_bestmbr': 0.3838615060149095, 'M2M100_1.2B-B4': 0.2871902969227449, 'Online-G': 0.4046897625821657, 'PROMT': 0.3843616185931751, 'Online-W': 0.492367981416919, 'OpenNMT': 0.35293112682848, 'Lan-Bridge': 0.4131771602378649, 'refA': 1.4682796618435532, 'Online-A': 0.4088241155077412, 'refB': 0.3977428519283421, 'QUARTZ_TuneReranking': 0.3902627754732748, 'Online-Y': 0.4417581985289871, 'bleu_bestmbr': 0.4367263587064371, 'comet_bestmbr': 0.4216242997326844, 'JDExploreAcademy': 0.4421306098047353}"
BERTScore,0.742,0.504,en-de,social,en-de.refA.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refA.txt-social/results.csv,"{'Online-B': 0.8760979272192344, 'bleurt_bestmbr': 0.8617377480259165, 'M2M100_1.2B-B4': 0.8551724494900554, 'Online-G': 0.8717614179477096, 'PROMT': 0.8723659651586786, 'Online-W': 0.8825612745713443, 'OpenNMT': 0.8649635489564389, 'Lan-Bridge': 0.8718612397788092, 'refA': 0.9999999974388628, 'Online-A': 0.8734115980332717, 'refB': 0.8694598806323484, 'QUARTZ_TuneReranking': 0.8645925360033289, 'Online-Y': 0.8773559140972793, 'bleu_bestmbr': 0.877403401886113, 'comet_bestmbr': 0.863791138981469, 'JDExploreAcademy': 0.8777541938470677}"
TER,0.725,0.439,en-de,social,en-de.refA.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refA.txt-social/results.csv,"{'Online-B': -0.5295681904520704, 'bleurt_bestmbr': -0.6036469545396986, 'M2M100_1.2B-B4': -0.5936431556287197, 'Online-G': -0.5483094846144105, 'PROMT': -0.5543877421805748, 'Online-W': -0.527668734962644, 'OpenNMT': -0.5705964290236799, 'Lan-Bridge': -0.5413448144865138, 'refA': -0.0, 'Online-A': -0.5512219830315309, 'refB': -0.5879447891604407, 'QUARTZ_TuneReranking': -0.5817399012283145, 'Online-Y': -0.5334937317968849, 'bleu_bestmbr': -0.5213372166645561, 'comet_bestmbr': -0.5841458781815879, 'JDExploreAcademy': -0.5309611244776498}"
BLEU,0.733,0.434,en-de,social,en-de.refA.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refA.txt-social/results.csv,"{'Online-B': 0.3578708776546764, 'bleurt_bestmbr': 0.287677886273735, 'M2M100_1.2B-B4': 0.2854967435021246, 'Online-G': 0.339564754328391, 'PROMT': 0.3318807541782233, 'Online-W': 0.3548577791250082, 'OpenNMT': 0.3181271384894038, 'Lan-Bridge': 0.3371039400040844, 'refA': 1.0000000000000004, 'Online-A': 0.334716428424522, 'refB': 0.3043042298060582, 'QUARTZ_TuneReranking': 0.3118874057760559, 'Online-Y': 0.3455252237414987, 'bleu_bestmbr': 0.3582579820133271, 'comet_bestmbr': 0.2887802369339656, 'JDExploreAcademy': 0.3597686540981583}"
chrF,0.742,0.466,en-de,social,en-de.refA.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refA.txt-social/results.csv,"{'Online-B': 0.5983130978581475, 'bleurt_bestmbr': 0.5572955693135052, 'M2M100_1.2B-B4': 0.5403115374297552, 'Online-G': 0.584630833810371, 'PROMT': 0.5808766684835555, 'Online-W': 0.606649793342832, 'OpenNMT': 0.565790400538043, 'Lan-Bridge': 0.5890365547938382, 'refA': 1.0, 'Online-A': 0.5872902698774599, 'refB': 0.5624667935575719, 'QUARTZ_TuneReranking': 0.5614560616514276, 'Online-Y': 0.5919992909471745, 'bleu_bestmbr': 0.5963588843235534, 'comet_bestmbr': 0.5592060569343612, 'JDExploreAcademy': 0.5983425331236414}"
ZeroEdit,0.758,0.395,en-de,social,en-de.refA.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refA.txt-social/results.csv,"{'Online-B': 0.041015625, 'bleurt_bestmbr': 0.03125, 'M2M100_1.2B-B4': 0.017578125, 'Online-G': 0.02734375, 'PROMT': 0.033203125, 'Online-W': 0.044921875, 'OpenNMT': 0.03125, 'Lan-Bridge': 0.0390625, 'refA': 1.0, 'Online-A': 0.03515625, 'refB': 0.041015625, 'QUARTZ_TuneReranking': 0.037109375, 'Online-Y': 0.03515625, 'bleu_bestmbr': 0.04296875, 'comet_bestmbr': 0.02734375, 'JDExploreAcademy': 0.037109375}"
GLEU,0.767,0.482,en-de,social,en-de.refA.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refA.txt-social/results.csv,"{'Online-B': 0.6717250714804761, 'bleurt_bestmbr': 0.6380194284462939, 'M2M100_1.2B-B4': 0.6253657719137893, 'Online-G': 0.6651870036013211, 'PROMT': 0.667553999951165, 'Online-W': 0.6862304529560821, 'OpenNMT': 0.6431616944286522, 'Lan-Bridge': 0.6641317219890027, 'refA': 1.0, 'Online-A': 0.6677229821597677, 'refB': 0.6500401797638694, 'QUARTZ_TuneReranking': 0.6480622005056246, 'Online-Y': 0.6729529028337585, 'bleu_bestmbr': 0.6760445930330574, 'comet_bestmbr': 0.6446338175752361, 'JDExploreAcademy': 0.6789082358575234}"
Average,0.775,0.452,en-de,social,en-de.refA.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refA.txt-social/universal_results.csv,"{'Online-B': 0.5331269084794561, 'bleurt_bestmbr': 0.4948949186467438, 'M2M100_1.2B-B4': 0.4819823743097681, 'Online-G': 0.5203604509092092, 'PROMT': 0.5176676542696621, 'Online-W': 0.5419623472487259, 'OpenNMT': 0.5041659881147283, 'Lan-Bridge': 0.5237771031711647, 'refA': 0.9999999996341232, 'Online-A': 0.5216410861739087, 'refB': 0.5054590493662254, 'QUARTZ_TuneReranking': 0.5052141522063943, 'Online-Y': 0.5300535641553313, 'bleu_bestmbr': 0.5354370819921019, 'comet_bestmbr': 0.5014887531585409, 'JDExploreAcademy': 0.5345695960501583}"
Median,0.742,0.466,en-de,social,en-de.refA.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refA.txt-social/universal_results.csv,"{'Online-B': 0.5983130978581475, 'bleurt_bestmbr': 0.5572955693135052, 'M2M100_1.2B-B4': 0.5403115374297552, 'Online-G': 0.584630833810371, 'PROMT': 0.5808766684835555, 'Online-W': 0.606649793342832, 'OpenNMT': 0.565790400538043, 'Lan-Bridge': 0.5890365547938382, 'refA': 1.0, 'Online-A': 0.5872902698774599, 'refB': 0.5624667935575719, 'QUARTZ_TuneReranking': 0.5614560616514276, 'Online-Y': 0.5919992909471745, 'bleu_bestmbr': 0.5963588843235534, 'comet_bestmbr': 0.5592060569343612, 'JDExploreAcademy': 0.5983425331236414}"
Social Choice Theory,0.767,0.688,en-de,social,en-de.refA.txt-social,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.2655882352941183, 'bleurt_bestmbr': -1.4100000000000004, 'M2M100_1.2B-B4': -2.991470588235295, 'Online-G': -1.5120588235294121, 'PROMT': -1.9408823529411772, 'Online-W': -0.7361764705882352, 'OpenNMT': -2.144411764705883, 'Lan-Bridge': -1.724117647058824, 'refA': -0.6814705882352939, 'Online-A': -1.5450000000000008, 'refB': -0.9282352941176469, 'QUARTZ_TuneReranking': -1.589117647058824, 'Online-Y': -1.445588235294118, 'bleu_bestmbr': -1.1391176470588238, 'comet_bestmbr': -1.3320588235294124, 'JDExploreAcademy': -1.2082352941176475}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//en-de/domains/social/nlp-telescope-scores/en-de-social/en-de.refA.txt-social/universal_results.csv,"{'Online-B': 88.0, 'bleurt_bestmbr': 21.0, 'M2M100_1.2B-B4': 14.0, 'Online-G': 57.0, 'PROMT': 53.0, 'Online-W': 108.0, 'OpenNMT': 37.0, 'Lan-Bridge': 66.0, 'refA': 119.0, 'Online-A': 64.0, 'refB': 44.0, 'QUARTZ_TuneReranking': 40.0, 'Online-Y': 83.0, 'bleu_bestmbr': 98.0, 'comet_bestmbr': 35.0, 'JDExploreAcademy': 99.0}"
