metrics,system_accuracy,spearman,pearson,kendall,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.783,0.765,0.309,0.567,en-ru,ecommerce,en-ru.refA.txt-ecommerce,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -3.0200000000000022, 'JDExploreAcademy': -2.2252173913043483, 'Lan-Bridge': -1.4873913043478262, 'M2M100_1.2B-B4': -4.42217391304348, 'Online-A': -2.6226086956521746, 'Online-B': -1.371304347826087, 'Online-G': -1.8756521739130438, 'Online-W': -0.9034782608695647, 'Online-Y': -1.6617391304347824, 'PROMT': -2.5469565217391317, 'QUARTZ_TuneReranking': -5.025652173913045, 'SRPOL': -3.5295652173913066, 'bleu_bestmbr': -1.3904347826086954, 'comet_bestmbr': -1.2556521739130435, 'eTranslation': -3.4878260869565234, 'refA': -1.952608695652174}",data/wmt22//en-ru/domains/ecommerce/nlp-telescope-scores/en-ru-ecommerce/en-ru.refA.txt-ecommerce/results.csv,"{'HuaweiTSC': 0.6685196405610526, 'JDExploreAcademy': 0.7095512493803464, 'Lan-Bridge': 0.7346218603601644, 'M2M100_1.2B-B4': 0.6108498111182719, 'Online-A': 0.7139040835746476, 'Online-B': 0.7445308718487691, 'Online-G': 0.7468853503483225, 'Online-W': 0.7392275072792369, 'Online-Y': 0.7475795465231574, 'PROMT': 0.626000580810151, 'QUARTZ_TuneReranking': 0.5917050366562282, 'SRPOL': 0.6237717121101494, 'bleu_bestmbr': 0.744622778758969, 'comet_bestmbr': 0.7387947540879601, 'eTranslation': 0.6543341740016948, 'refA': 1.648640021850478}"
BERTScore,0.758,0.612,0.34,0.517,en-ru,ecommerce,en-ru.refA.txt-ecommerce,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -3.0200000000000022, 'JDExploreAcademy': -2.2252173913043483, 'Lan-Bridge': -1.4873913043478262, 'M2M100_1.2B-B4': -4.42217391304348, 'Online-A': -2.6226086956521746, 'Online-B': -1.371304347826087, 'Online-G': -1.8756521739130438, 'Online-W': -0.9034782608695647, 'Online-Y': -1.6617391304347824, 'PROMT': -2.5469565217391317, 'QUARTZ_TuneReranking': -5.025652173913045, 'SRPOL': -3.5295652173913066, 'bleu_bestmbr': -1.3904347826086954, 'comet_bestmbr': -1.2556521739130435, 'eTranslation': -3.4878260869565234, 'refA': -1.952608695652174}",data/wmt22//en-ru/domains/ecommerce/nlp-telescope-scores/en-ru-ecommerce/en-ru.refA.txt-ecommerce/results.csv,"{'HuaweiTSC': 0.8817815553467229, 'JDExploreAcademy': 0.8863828510046006, 'Lan-Bridge': 0.888809789126774, 'M2M100_1.2B-B4': 0.870666805247091, 'Online-A': 0.886208024002471, 'Online-B': 0.8905943961638325, 'Online-G': 0.8880349189605353, 'Online-W': 0.8867280175101082, 'Online-Y': 0.8905351540952359, 'PROMT': 0.8757353861376924, 'QUARTZ_TuneReranking': 0.8550363903900362, 'SRPOL': 0.8790997387103314, 'bleu_bestmbr': 0.8911631720246009, 'comet_bestmbr': 0.8752934139854504, 'eTranslation': 0.879584083635852, 'refA': 0.9999999959513828}"
TER,0.725,0.512,0.278,0.45,en-ru,ecommerce,en-ru.refA.txt-ecommerce,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -3.0200000000000022, 'JDExploreAcademy': -2.2252173913043483, 'Lan-Bridge': -1.4873913043478262, 'M2M100_1.2B-B4': -4.42217391304348, 'Online-A': -2.6226086956521746, 'Online-B': -1.371304347826087, 'Online-G': -1.8756521739130438, 'Online-W': -0.9034782608695647, 'Online-Y': -1.6617391304347824, 'PROMT': -2.5469565217391317, 'QUARTZ_TuneReranking': -5.025652173913045, 'SRPOL': -3.5295652173913066, 'bleu_bestmbr': -1.3904347826086954, 'comet_bestmbr': -1.2556521739130435, 'eTranslation': -3.4878260869565234, 'refA': -1.952608695652174}",data/wmt22//en-ru/domains/ecommerce/nlp-telescope-scores/en-ru-ecommerce/en-ru.refA.txt-ecommerce/results.csv,"{'HuaweiTSC': -0.548216976393772, 'JDExploreAcademy': -0.5212204922149674, 'Lan-Bridge': -0.5052737317930688, 'M2M100_1.2B-B4': -0.5680562531391261, 'Online-A': -0.5261175288799598, 'Online-B': -0.5059015570065294, 'Online-G': -0.5244851833249623, 'Online-W': -0.5379206428930186, 'Online-Y': -0.5115519839276745, 'PROMT': -0.562405826217981, 'QUARTZ_TuneReranking': -0.6421396283274735, 'SRPOL': -0.5497237569060773, 'bleu_bestmbr': -0.4993721747865394, 'comet_bestmbr': -0.5826217980914113, 'eTranslation': -0.5492214967353088, 'refA': -0.0}"
BLEU,0.717,0.506,0.228,0.433,en-ru,ecommerce,en-ru.refA.txt-ecommerce,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -3.0200000000000022, 'JDExploreAcademy': -2.2252173913043483, 'Lan-Bridge': -1.4873913043478262, 'M2M100_1.2B-B4': -4.42217391304348, 'Online-A': -2.6226086956521746, 'Online-B': -1.371304347826087, 'Online-G': -1.8756521739130438, 'Online-W': -0.9034782608695647, 'Online-Y': -1.6617391304347824, 'PROMT': -2.5469565217391317, 'QUARTZ_TuneReranking': -5.025652173913045, 'SRPOL': -3.5295652173913066, 'bleu_bestmbr': -1.3904347826086954, 'comet_bestmbr': -1.2556521739130435, 'eTranslation': -3.4878260869565234, 'refA': -1.952608695652174}",data/wmt22//en-ru/domains/ecommerce/nlp-telescope-scores/en-ru-ecommerce/en-ru.refA.txt-ecommerce/results.csv,"{'HuaweiTSC': 0.3260265682726457, 'JDExploreAcademy': 0.3538504375868211, 'Lan-Bridge': 0.3623996155720907, 'M2M100_1.2B-B4': 0.3069190445264986, 'Online-A': 0.3500911730533296, 'Online-B': 0.3665266210209751, 'Online-G': 0.3501316387161952, 'Online-W': 0.3395086108716122, 'Online-Y': 0.3529361475435005, 'PROMT': 0.3125247200130914, 'QUARTZ_TuneReranking': 0.25161707679102, 'SRPOL': 0.3239982252365408, 'bleu_bestmbr': 0.3699415033340875, 'comet_bestmbr': 0.2997117377661487, 'eTranslation': 0.3330958245581499, 'refA': 1.0000000000000004}"
chrF,0.7,0.524,0.295,0.4,en-ru,ecommerce,en-ru.refA.txt-ecommerce,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -3.0200000000000022, 'JDExploreAcademy': -2.2252173913043483, 'Lan-Bridge': -1.4873913043478262, 'M2M100_1.2B-B4': -4.42217391304348, 'Online-A': -2.6226086956521746, 'Online-B': -1.371304347826087, 'Online-G': -1.8756521739130438, 'Online-W': -0.9034782608695647, 'Online-Y': -1.6617391304347824, 'PROMT': -2.5469565217391317, 'QUARTZ_TuneReranking': -5.025652173913045, 'SRPOL': -3.5295652173913066, 'bleu_bestmbr': -1.3904347826086954, 'comet_bestmbr': -1.2556521739130435, 'eTranslation': -3.4878260869565234, 'refA': -1.952608695652174}",data/wmt22//en-ru/domains/ecommerce/nlp-telescope-scores/en-ru-ecommerce/en-ru.refA.txt-ecommerce/results.csv,"{'HuaweiTSC': 0.5905239623177149, 'JDExploreAcademy': 0.6155089735387376, 'Lan-Bridge': 0.6208168919609949, 'M2M100_1.2B-B4': 0.5680016929589591, 'Online-A': 0.6137030265944818, 'Online-B': 0.6209782592845159, 'Online-G': 0.6251812688235452, 'Online-W': 0.6076700993614953, 'Online-Y': 0.6167300658400197, 'PROMT': 0.5822776242353673, 'QUARTZ_TuneReranking': 0.5245964126747571, 'SRPOL': 0.5914514835185808, 'bleu_bestmbr': 0.6206668605062535, 'comet_bestmbr': 0.5800319180347324, 'eTranslation': 0.5952138269050099, 'refA': 1.0}"
ZeroEdit,0.7,0.585,0.129,0.427,en-ru,ecommerce,en-ru.refA.txt-ecommerce,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -3.0200000000000022, 'JDExploreAcademy': -2.2252173913043483, 'Lan-Bridge': -1.4873913043478262, 'M2M100_1.2B-B4': -4.42217391304348, 'Online-A': -2.6226086956521746, 'Online-B': -1.371304347826087, 'Online-G': -1.8756521739130438, 'Online-W': -0.9034782608695647, 'Online-Y': -1.6617391304347824, 'PROMT': -2.5469565217391317, 'QUARTZ_TuneReranking': -5.025652173913045, 'SRPOL': -3.5295652173913066, 'bleu_bestmbr': -1.3904347826086954, 'comet_bestmbr': -1.2556521739130435, 'eTranslation': -3.4878260869565234, 'refA': -1.952608695652174}",data/wmt22//en-ru/domains/ecommerce/nlp-telescope-scores/en-ru-ecommerce/en-ru.refA.txt-ecommerce/results.csv,"{'HuaweiTSC': 0.0245283018867924, 'JDExploreAcademy': 0.0358490566037735, 'Lan-Bridge': 0.0339622641509433, 'M2M100_1.2B-B4': 0.0169811320754716, 'Online-A': 0.0264150943396226, 'Online-B': 0.0339622641509433, 'Online-G': 0.0320754716981132, 'Online-W': 0.030188679245283, 'Online-Y': 0.030188679245283, 'PROMT': 0.0188679245283018, 'QUARTZ_TuneReranking': 0.0075471698113207, 'SRPOL': 0.0169811320754716, 'bleu_bestmbr': 0.0339622641509433, 'comet_bestmbr': 0.0188679245283018, 'eTranslation': 0.0283018867924528, 'refA': 1.0}"
GLEU,0.733,0.591,0.31,0.467,en-ru,ecommerce,en-ru.refA.txt-ecommerce,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -3.0200000000000022, 'JDExploreAcademy': -2.2252173913043483, 'Lan-Bridge': -1.4873913043478262, 'M2M100_1.2B-B4': -4.42217391304348, 'Online-A': -2.6226086956521746, 'Online-B': -1.371304347826087, 'Online-G': -1.8756521739130438, 'Online-W': -0.9034782608695647, 'Online-Y': -1.6617391304347824, 'PROMT': -2.5469565217391317, 'QUARTZ_TuneReranking': -5.025652173913045, 'SRPOL': -3.5295652173913066, 'bleu_bestmbr': -1.3904347826086954, 'comet_bestmbr': -1.2556521739130435, 'eTranslation': -3.4878260869565234, 'refA': -1.952608695652174}",data/wmt22//en-ru/domains/ecommerce/nlp-telescope-scores/en-ru-ecommerce/en-ru.refA.txt-ecommerce/results.csv,"{'HuaweiTSC': 0.6695382113082864, 'JDExploreAcademy': 0.6860564796238748, 'Lan-Bridge': 0.6915593894451216, 'M2M100_1.2B-B4': 0.648328686240199, 'Online-A': 0.6843177615824071, 'Online-B': 0.692460325387657, 'Online-G': 0.6925602445345233, 'Online-W': 0.6854987185058077, 'Online-Y': 0.6908480781229429, 'PROMT': 0.6573751581493015, 'QUARTZ_TuneReranking': 0.6102644134105235, 'SRPOL': 0.6669874892978717, 'bleu_bestmbr': 0.695546684446497, 'comet_bestmbr': 0.6611968291571759, 'eTranslation': 0.6712298829501793, 'refA': 1.0}"
weighted-sum-seed-36-trials-1000_-1_1,0.708,0.521,0.266,0.417,en-ru,ecommerce,en-ru.refA.txt-ecommerce,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -3.0200000000000022, 'JDExploreAcademy': -2.2252173913043483, 'Lan-Bridge': -1.4873913043478262, 'M2M100_1.2B-B4': -4.42217391304348, 'Online-A': -2.6226086956521746, 'Online-B': -1.371304347826087, 'Online-G': -1.8756521739130438, 'Online-W': -0.9034782608695647, 'Online-Y': -1.6617391304347824, 'PROMT': -2.5469565217391317, 'QUARTZ_TuneReranking': -5.025652173913045, 'SRPOL': -3.5295652173913066, 'bleu_bestmbr': -1.3904347826086954, 'comet_bestmbr': -1.2556521739130435, 'eTranslation': -3.4878260869565234, 'refA': -1.952608695652174}",data/wmt22//en-ru/domains/ecommerce/nlp-telescope-scores/en-ru-ecommerce/en-ru.refA.txt-ecommerce/universal_metrics/weighted-sum-seed-36-trials-1000_-1_1_ranks_systems.csv,"{'HuaweiTSC': 0.0695427853638778, 'JDExploreAcademy': 0.0706515872113038, 'Lan-Bridge': 0.076260270311346, 'M2M100_1.2B-B4': 0.0542517805477912, 'Online-A': 0.0782308275422865, 'Online-B': 0.0853222018236935, 'Online-G': 0.0940809071119699, 'Online-W': 0.1097106251173699, 'Online-Y': 0.0899819930024297, 'PROMT': 0.0495998615428602, 'QUARTZ_TuneReranking': 0.1171902507508621, 'SRPOL': 0.0345136552245766, 'bleu_bestmbr': 0.0824941542076014, 'comet_bestmbr': 0.1566245093943915, 'eTranslation': 0.0602948420114489, 'refA': 0.2968863355969477}"
weighted-sum-seed-24-trials-1000_-1_1,0.758,0.691,0.245,0.517,en-ru,ecommerce,en-ru.refA.txt-ecommerce,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -3.0200000000000022, 'JDExploreAcademy': -2.2252173913043483, 'Lan-Bridge': -1.4873913043478262, 'M2M100_1.2B-B4': -4.42217391304348, 'Online-A': -2.6226086956521746, 'Online-B': -1.371304347826087, 'Online-G': -1.8756521739130438, 'Online-W': -0.9034782608695647, 'Online-Y': -1.6617391304347824, 'PROMT': -2.5469565217391317, 'QUARTZ_TuneReranking': -5.025652173913045, 'SRPOL': -3.5295652173913066, 'bleu_bestmbr': -1.3904347826086954, 'comet_bestmbr': -1.2556521739130435, 'eTranslation': -3.4878260869565234, 'refA': -1.952608695652174}",data/wmt22//en-ru/domains/ecommerce/nlp-telescope-scores/en-ru-ecommerce/en-ru.refA.txt-ecommerce/universal_metrics/weighted-sum-seed-24-trials-1000_-1_1_ranks_systems.csv,"{'HuaweiTSC': 1.274277037436807, 'JDExploreAcademy': 1.281392137620808, 'Lan-Bridge': 1.2887164439511325, 'M2M100_1.2B-B4': 1.2400802243249571, 'Online-A': 1.2872484678869545, 'Online-B': 1.2991778412880417, 'Online-G': 1.3140697008735016, 'Online-W': 1.3281525882663885, 'Online-Y': 1.3086768600162886, 'PROMT': 1.244712176970104, 'QUARTZ_TuneReranking': 1.2969228543159024, 'SRPOL': 1.2290812077219255, 'bleu_bestmbr': 1.2951907893240948, 'comet_bestmbr': 1.3708422881458973, 'eTranslation': 1.2596937598424602, 'refA': 1.8790638775163235}"
weighted-mean-seed-36-trials-1000_0_1,0.817,0.818,0.324,0.633,en-ru,ecommerce,en-ru.refA.txt-ecommerce,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -3.0200000000000022, 'JDExploreAcademy': -2.2252173913043483, 'Lan-Bridge': -1.4873913043478262, 'M2M100_1.2B-B4': -4.42217391304348, 'Online-A': -2.6226086956521746, 'Online-B': -1.371304347826087, 'Online-G': -1.8756521739130438, 'Online-W': -0.9034782608695647, 'Online-Y': -1.6617391304347824, 'PROMT': -2.5469565217391317, 'QUARTZ_TuneReranking': -5.025652173913045, 'SRPOL': -3.5295652173913066, 'bleu_bestmbr': -1.3904347826086954, 'comet_bestmbr': -1.2556521739130435, 'eTranslation': -3.4878260869565234, 'refA': -1.952608695652174}",data/wmt22//en-ru/domains/ecommerce/nlp-telescope-scores/en-ru-ecommerce/en-ru.refA.txt-ecommerce/universal_metrics/weighted-mean-seed-36-trials-1000_0_1_ranks_systems.csv,"{'HuaweiTSC': 0.6665017127221137, 'JDExploreAcademy': 0.6718883556769925, 'Lan-Bridge': 0.6742433081801814, 'M2M100_1.2B-B4': 0.6529606255353296, 'Online-A': 0.6740511813787838, 'Online-B': 0.6775423475139857, 'Online-G': 0.682915941866901, 'Online-W': 0.6837602983709903, 'Online-Y': 0.6793173753144254, 'PROMT': 0.6574398048632148, 'QUARTZ_TuneReranking': 0.6616512848599788, 'SRPOL': 0.6552404550762588, 'bleu_bestmbr': 0.6760455008988409, 'comet_bestmbr': 0.6906538273578315, 'eTranslation': 0.6634218152213139, 'refA': 0.8258363891882328}"
