metric,System Accuracy,Pearson,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.917,0.637,en-ru,social,en-ru.refA.txt-social,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -8.06647058823529, 'JDExploreAcademy': -4.625294117647058, 'Lan-Bridge': -5.487352941176468, 'M2M100_1.2B-B4': -9.274117647058816, 'Online-A': -6.559411764705882, 'Online-B': -4.293529411764704, 'Online-G': -4.332647058823531, 'Online-W': -2.962058823529413, 'Online-Y': -5.788235294117646, 'PROMT': -6.881176470588235, 'QUARTZ_TuneReranking': -7.024411764705879, 'SRPOL': -8.189705882352936, 'bleu_bestmbr': -4.012941176470589, 'comet_bestmbr': -4.734999999999996, 'eTranslation': -8.542941176470583, 'refA': -2.1717647058823544}",data/wmt22//en-ru/domains/social/nlp-telescope-scores/en-ru-social/en-ru.refA.txt-social/results.csv,"{'HuaweiTSC': 0.4244324810069884, 'JDExploreAcademy': 0.5361302059154696, 'Lan-Bridge': 0.5094987429633875, 'M2M100_1.2B-B4': 0.3500718022842193, 'Online-A': 0.4871162913223088, 'Online-B': 0.5373915348582159, 'Online-G': 0.5567149528887967, 'Online-W': 0.5415270049716128, 'Online-Y': 0.4988349045197537, 'PROMT': 0.4243641764151107, 'QUARTZ_TuneReranking': 0.4089874891742511, 'SRPOL': 0.4381173261244839, 'bleu_bestmbr': 0.5368643042829717, 'comet_bestmbr': 0.5236790320223008, 'eTranslation': 0.4132599361546454, 'refA': 1.569490148802288}"
BERTScore,0.875,0.637,en-ru,social,en-ru.refA.txt-social,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -8.06647058823529, 'JDExploreAcademy': -4.625294117647058, 'Lan-Bridge': -5.487352941176468, 'M2M100_1.2B-B4': -9.274117647058816, 'Online-A': -6.559411764705882, 'Online-B': -4.293529411764704, 'Online-G': -4.332647058823531, 'Online-W': -2.962058823529413, 'Online-Y': -5.788235294117646, 'PROMT': -6.881176470588235, 'QUARTZ_TuneReranking': -7.024411764705879, 'SRPOL': -8.189705882352936, 'bleu_bestmbr': -4.012941176470589, 'comet_bestmbr': -4.734999999999996, 'eTranslation': -8.542941176470583, 'refA': -2.1717647058823544}",data/wmt22//en-ru/domains/social/nlp-telescope-scores/en-ru-social/en-ru.refA.txt-social/results.csv,"{'HuaweiTSC': 0.8665942915249616, 'JDExploreAcademy': 0.879048409871757, 'Lan-Bridge': 0.8759449813514948, 'M2M100_1.2B-B4': 0.8532563701155595, 'Online-A': 0.8740106309996918, 'Online-B': 0.881258160341531, 'Online-G': 0.8800444313092157, 'Online-W': 0.8797420997871086, 'Online-Y': 0.8754606778966263, 'PROMT': 0.8673717409837991, 'QUARTZ_TuneReranking': 0.8483580680331215, 'SRPOL': 0.8694781422382221, 'bleu_bestmbr': 0.8826590643730015, 'comet_bestmbr': 0.8654820112278685, 'eTranslation': 0.8640462708426639, 'refA': 0.9999999974388628}"
TER,0.842,0.605,en-ru,social,en-ru.refA.txt-social,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -8.06647058823529, 'JDExploreAcademy': -4.625294117647058, 'Lan-Bridge': -5.487352941176468, 'M2M100_1.2B-B4': -9.274117647058816, 'Online-A': -6.559411764705882, 'Online-B': -4.293529411764704, 'Online-G': -4.332647058823531, 'Online-W': -2.962058823529413, 'Online-Y': -5.788235294117646, 'PROMT': -6.881176470588235, 'QUARTZ_TuneReranking': -7.024411764705879, 'SRPOL': -8.189705882352936, 'bleu_bestmbr': -4.012941176470589, 'comet_bestmbr': -4.734999999999996, 'eTranslation': -8.542941176470583, 'refA': -2.1717647058823544}",data/wmt22//en-ru/domains/social/nlp-telescope-scores/en-ru-social/en-ru.refA.txt-social/results.csv,"{'HuaweiTSC': -0.5806628321007943, 'JDExploreAcademy': -0.5358805806628321, 'Lan-Bridge': -0.5312243221035333, 'M2M100_1.2B-B4': -0.61147630786086, 'Online-A': -0.5624486442070665, 'Online-B': -0.5295809367296631, 'Online-G': -0.5432758148452479, 'Online-W': -0.5399890440975076, 'Online-Y': -0.5493015612161052, 'PROMT': -0.5898384004382361, 'QUARTZ_TuneReranking': -0.6432484250890167, 'SRPOL': -0.5902492467817037, 'bleu_bestmbr': -0.5176663927691043, 'comet_bestmbr': -0.5987400712133663, 'eTranslation': -0.5962749931525609, 'refA': -0.0}"
BLEU,0.842,0.568,en-ru,social,en-ru.refA.txt-social,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -8.06647058823529, 'JDExploreAcademy': -4.625294117647058, 'Lan-Bridge': -5.487352941176468, 'M2M100_1.2B-B4': -9.274117647058816, 'Online-A': -6.559411764705882, 'Online-B': -4.293529411764704, 'Online-G': -4.332647058823531, 'Online-W': -2.962058823529413, 'Online-Y': -5.788235294117646, 'PROMT': -6.881176470588235, 'QUARTZ_TuneReranking': -7.024411764705879, 'SRPOL': -8.189705882352936, 'bleu_bestmbr': -4.012941176470589, 'comet_bestmbr': -4.734999999999996, 'eTranslation': -8.542941176470583, 'refA': -2.1717647058823544}",data/wmt22//en-ru/domains/social/nlp-telescope-scores/en-ru-social/en-ru.refA.txt-social/results.csv,"{'HuaweiTSC': 0.3191179457614999, 'JDExploreAcademy': 0.3586089482647969, 'Lan-Bridge': 0.3550567831047134, 'M2M100_1.2B-B4': 0.2893531525810237, 'Online-A': 0.3387650001589355, 'Online-B': 0.3593308496601751, 'Online-G': 0.357823322719457, 'Online-W': 0.3564066881053223, 'Online-Y': 0.3339517228186632, 'PROMT': 0.3172829669808551, 'QUARTZ_TuneReranking': 0.2638239340611791, 'SRPOL': 0.3086620090890195, 'bleu_bestmbr': 0.3689183770872746, 'comet_bestmbr': 0.2884922871710853, 'eTranslation': 0.3068149584729072, 'refA': 1.0000000000000004}"
chrF,0.85,0.604,en-ru,social,en-ru.refA.txt-social,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -8.06647058823529, 'JDExploreAcademy': -4.625294117647058, 'Lan-Bridge': -5.487352941176468, 'M2M100_1.2B-B4': -9.274117647058816, 'Online-A': -6.559411764705882, 'Online-B': -4.293529411764704, 'Online-G': -4.332647058823531, 'Online-W': -2.962058823529413, 'Online-Y': -5.788235294117646, 'PROMT': -6.881176470588235, 'QUARTZ_TuneReranking': -7.024411764705879, 'SRPOL': -8.189705882352936, 'bleu_bestmbr': -4.012941176470589, 'comet_bestmbr': -4.734999999999996, 'eTranslation': -8.542941176470583, 'refA': -2.1717647058823544}",data/wmt22//en-ru/domains/social/nlp-telescope-scores/en-ru-social/en-ru.refA.txt-social/results.csv,"{'HuaweiTSC': 0.5365832959028698, 'JDExploreAcademy': 0.574834373141829, 'Lan-Bridge': 0.5669613757537063, 'M2M100_1.2B-B4': 0.5078364729758659, 'Online-A': 0.5536297363598485, 'Online-B': 0.5750221105604743, 'Online-G': 0.5812206484570321, 'Online-W': 0.5700179637763215, 'Online-Y': 0.5552008785356146, 'PROMT': 0.5355367403133586, 'QUARTZ_TuneReranking': 0.4972261323995794, 'SRPOL': 0.5357663997954989, 'bleu_bestmbr': 0.5762381380868293, 'comet_bestmbr': 0.5276640837261358, 'eTranslation': 0.5270144684482598, 'refA': 1.0}"
ZeroEdit,0.858,0.495,en-ru,social,en-ru.refA.txt-social,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -8.06647058823529, 'JDExploreAcademy': -4.625294117647058, 'Lan-Bridge': -5.487352941176468, 'M2M100_1.2B-B4': -9.274117647058816, 'Online-A': -6.559411764705882, 'Online-B': -4.293529411764704, 'Online-G': -4.332647058823531, 'Online-W': -2.962058823529413, 'Online-Y': -5.788235294117646, 'PROMT': -6.881176470588235, 'QUARTZ_TuneReranking': -7.024411764705879, 'SRPOL': -8.189705882352936, 'bleu_bestmbr': -4.012941176470589, 'comet_bestmbr': -4.734999999999996, 'eTranslation': -8.542941176470583, 'refA': -2.1717647058823544}",data/wmt22//en-ru/domains/social/nlp-telescope-scores/en-ru-social/en-ru.refA.txt-social/results.csv,"{'HuaweiTSC': 0.03515625, 'JDExploreAcademy': 0.05859375, 'Lan-Bridge': 0.04296875, 'M2M100_1.2B-B4': 0.01953125, 'Online-A': 0.03515625, 'Online-B': 0.04296875, 'Online-G': 0.056640625, 'Online-W': 0.048828125, 'Online-Y': 0.037109375, 'PROMT': 0.03515625, 'QUARTZ_TuneReranking': 0.025390625, 'SRPOL': 0.037109375, 'bleu_bestmbr': 0.046875, 'comet_bestmbr': 0.0390625, 'eTranslation': 0.03125, 'refA': 1.0}"
GLEU,0.842,0.619,en-ru,social,en-ru.refA.txt-social,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -8.06647058823529, 'JDExploreAcademy': -4.625294117647058, 'Lan-Bridge': -5.487352941176468, 'M2M100_1.2B-B4': -9.274117647058816, 'Online-A': -6.559411764705882, 'Online-B': -4.293529411764704, 'Online-G': -4.332647058823531, 'Online-W': -2.962058823529413, 'Online-Y': -5.788235294117646, 'PROMT': -6.881176470588235, 'QUARTZ_TuneReranking': -7.024411764705879, 'SRPOL': -8.189705882352936, 'bleu_bestmbr': -4.012941176470589, 'comet_bestmbr': -4.734999999999996, 'eTranslation': -8.542941176470583, 'refA': -2.1717647058823544}",data/wmt22//en-ru/domains/social/nlp-telescope-scores/en-ru-social/en-ru.refA.txt-social/results.csv,"{'HuaweiTSC': 0.6182013353918074, 'JDExploreAcademy': 0.6548351501173615, 'Lan-Bridge': 0.6448477315050936, 'M2M100_1.2B-B4': 0.5869460620856556, 'Online-A': 0.6357120299109663, 'Online-B': 0.6527153342882955, 'Online-G': 0.6555876989756013, 'Online-W': 0.6526735621046115, 'Online-Y': 0.6391340484314424, 'PROMT': 0.6191809438147944, 'QUARTZ_TuneReranking': 0.5767858519970511, 'SRPOL': 0.6260747352115164, 'bleu_bestmbr': 0.6553771013382467, 'comet_bestmbr': 0.6169632468749551, 'eTranslation': 0.6141004463197027, 'refA': 1.0}"
Average,0.883,0.58,en-ru,social,en-ru.refA.txt-social,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -8.06647058823529, 'JDExploreAcademy': -4.625294117647058, 'Lan-Bridge': -5.487352941176468, 'M2M100_1.2B-B4': -9.274117647058816, 'Online-A': -6.559411764705882, 'Online-B': -4.293529411764704, 'Online-G': -4.332647058823531, 'Online-W': -2.962058823529413, 'Online-Y': -5.788235294117646, 'PROMT': -6.881176470588235, 'QUARTZ_TuneReranking': -7.024411764705879, 'SRPOL': -8.189705882352936, 'bleu_bestmbr': -4.012941176470589, 'comet_bestmbr': -4.734999999999996, 'eTranslation': -8.542941176470583, 'refA': -2.1717647058823544}",data/wmt22//en-ru/domains/social/nlp-telescope-scores/en-ru-social/en-ru.refA.txt-social/universal_metrics/average_ranks_systems.csv,"{'HuaweiTSC': 0.4829640616698459, 'JDExploreAcademy': 0.5139902025677209, 'Lan-Bridge': 0.5037860981117042, 'M2M100_1.2B-B4': 0.4597816311290262, 'Online-A': 0.4981197975655454, 'Online-B': 0.5111810966340508, 'Online-G': 0.5187582134564787, 'Online-W': 0.5127406411203549, 'Online-Y': 0.498427595488315, 'PROMT': 0.4841044598494505, 'QUARTZ_TuneReranking': 0.4662600751077427, 'SRPOL': 0.4864938906057777, 'bleu_bestmbr': 0.5120854825624896, 'comet_bestmbr': 0.4942976046051016, 'eTranslation': 0.4789658676272485, 'refA': 0.9384985923201644}"
Median,0.742,0.513,en-ru,social,en-ru.refA.txt-social,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -8.06647058823529, 'JDExploreAcademy': -4.625294117647058, 'Lan-Bridge': -5.487352941176468, 'M2M100_1.2B-B4': -9.274117647058816, 'Online-A': -6.559411764705882, 'Online-B': -4.293529411764704, 'Online-G': -4.332647058823531, 'Online-W': -2.962058823529413, 'Online-Y': -5.788235294117646, 'PROMT': -6.881176470588235, 'QUARTZ_TuneReranking': -7.024411764705879, 'SRPOL': -8.189705882352936, 'bleu_bestmbr': -4.012941176470589, 'comet_bestmbr': -4.734999999999996, 'eTranslation': -8.542941176470583, 'refA': -2.1717647058823544}",data/wmt22//en-ru/domains/social/nlp-telescope-scores/en-ru-social/en-ru.refA.txt-social/universal_metrics/median_ranks_systems.csv,"{'HuaweiTSC': 0.5365832959028698, 'JDExploreAcademy': 0.5361302059154696, 'Lan-Bridge': 0.5312243221035333, 'M2M100_1.2B-B4': 0.5078364729758659, 'Online-A': 0.5536297363598485, 'Online-B': 0.5373915348582159, 'Online-G': 0.5567149528887967, 'Online-W': 0.5415270049716128, 'Online-Y': 0.5493015612161052, 'PROMT': 0.5355367403133586, 'QUARTZ_TuneReranking': 0.4972261323995794, 'SRPOL': 0.5357663997954989, 'bleu_bestmbr': 0.5368643042829717, 'comet_bestmbr': 0.5276640837261358, 'eTranslation': 0.5270144684482598, 'refA': 1.0}"
Social Choice Theory,0.85,0.858,en-ru,social,en-ru.refA.txt-social,"['HuaweiTSC', 'JDExploreAcademy', 'Lan-Bridge', 'M2M100_1.2B-B4', 'Online-A', 'Online-B', 'Online-G', 'Online-W', 'Online-Y', 'PROMT', 'QUARTZ_TuneReranking', 'SRPOL', 'bleu_bestmbr', 'comet_bestmbr', 'eTranslation', 'refA']",data/wmt22//en-ru/human-scores/en-ru.mqm.domain.score,"{'HuaweiTSC': -8.06647058823529, 'JDExploreAcademy': -4.625294117647058, 'Lan-Bridge': -5.487352941176468, 'M2M100_1.2B-B4': -9.274117647058816, 'Online-A': -6.559411764705882, 'Online-B': -4.293529411764704, 'Online-G': -4.332647058823531, 'Online-W': -2.962058823529413, 'Online-Y': -5.788235294117646, 'PROMT': -6.881176470588235, 'QUARTZ_TuneReranking': -7.024411764705879, 'SRPOL': -8.189705882352936, 'bleu_bestmbr': -4.012941176470589, 'comet_bestmbr': -4.734999999999996, 'eTranslation': -8.542941176470583, 'refA': -2.1717647058823544}",data/wmt22//en-ru/domains/social/nlp-telescope-scores/en-ru-social/en-ru.refA.txt-social/universal_metrics/social-choice-theory_ranks_systems.csv,"{'HuaweiTSC': 44.0, 'JDExploreAcademy': 89.0, 'Lan-Bridge': 75.0, 'M2M100_1.2B-B4': 17.0, 'Online-A': 56.0, 'Online-B': 94.0, 'Online-G': 96.0, 'Online-W': 84.0, 'Online-Y': 61.0, 'PROMT': 41.0, 'QUARTZ_TuneReranking': 13.0, 'SRPOL': 45.0, 'bleu_bestmbr': 101.0, 'comet_bestmbr': 37.0, 'eTranslation': 27.0, 'refA': 119.0}"
