metric,System Accuracy,Spearman,Pearson,Kendall,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.892,0.891,0.712,0.783,zh-en,ecommerce,zh-en.refA.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refA.txt-ecommerce/results.csv,"{'Lan-Bridge': 0.22380222797908, 'JDExploreAcademy': 0.2123183936804792, 'M2M100_1.2B-B4': -0.0037250604955155, 'Online-Y': 0.2006691457770232, 'AISP-SJTU': 0.1942217090979765, 'comet_bestmbr': 0.2452068082003002, 'refA': 1.3347704098721729, 'Online-W': 0.0732190641655468, 'LanguageX': 0.2210294330658024, 'HuaweiTSC': 0.1845035572360093, 'Online-B': 0.2211194518229, 'bleu_bestmbr': 0.2503299884881076, 'Online-A': 0.1348704182026857, 'bleurt_bestmbr': 0.2660891881282711, 'Online-G': 0.2429106574780649, 'refB': 0.6245692515993871}"
BERTScore,0.867,0.876,0.758,0.733,zh-en,ecommerce,zh-en.refA.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refA.txt-ecommerce/results.csv,"{'Lan-Bridge': 0.925169635808606, 'JDExploreAcademy': 0.9256407025928204, 'M2M100_1.2B-B4': 0.9049976012421392, 'Online-Y': 0.923420753718343, 'AISP-SJTU': 0.9217590375526532, 'comet_bestmbr': 0.9252089280419368, 'refA': 0.9999999964329268, 'Online-W': 0.9151961854065708, 'LanguageX': 0.9248133536471363, 'HuaweiTSC': 0.92208758813534, 'Online-B': 0.9266204068789612, 'bleu_bestmbr': 0.9282299748488836, 'Online-A': 0.9174665190768518, 'bleurt_bestmbr': 0.9287091895189984, 'Online-G': 0.9250223695311308, 'refB': 0.9581625167007152}"
TER,0.708,0.541,0.635,0.417,zh-en,ecommerce,zh-en.refA.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refA.txt-ecommerce/results.csv,"{'Lan-Bridge': -0.6858760826115923, 'JDExploreAcademy': -0.6797968021319121, 'M2M100_1.2B-B4': -0.7605762824783477, 'Online-Y': -0.7016988674217188, 'AISP-SJTU': -0.6902065289806797, 'comet_bestmbr': -0.7236842105263157, 'refA': -0.0, 'Online-W': -0.7298467688207861, 'LanguageX': -0.679713524317122, 'HuaweiTSC': -0.6997834776815456, 'Online-B': -0.6922051965356429, 'bleu_bestmbr': -0.6679713524317122, 'Online-A': -0.7153564290473018, 'bleurt_bestmbr': -0.7060293137908061, 'Online-G': -0.7036142571618921, 'refB': -0.3996502331778814}"
BLEU,0.683,0.5,0.632,0.367,zh-en,ecommerce,zh-en.refA.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refA.txt-ecommerce/results.csv,"{'Lan-Bridge': 0.2047567897236401, 'JDExploreAcademy': 0.2217493433963473, 'M2M100_1.2B-B4': 0.1382331063343917, 'Online-Y': 0.2051641152029045, 'AISP-SJTU': 0.2089364561531365, 'comet_bestmbr': 0.17828559337556, 'refA': 1.0000000000000004, 'Online-W': 0.1818387187295879, 'LanguageX': 0.2269250916074284, 'HuaweiTSC': 0.208011488102504, 'Online-B': 0.2218560332648059, 'bleu_bestmbr': 0.2317812635998127, 'Online-A': 0.1875460474056302, 'bleurt_bestmbr': 0.2043454448574976, 'Online-G': 0.2126938212949654, 'refB': 0.5476811395497206}"
chrF,0.792,0.7,0.676,0.583,zh-en,ecommerce,zh-en.refA.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refA.txt-ecommerce/results.csv,"{'Lan-Bridge': 0.5166384085752407, 'JDExploreAcademy': 0.5223537093472495, 'M2M100_1.2B-B4': 0.4391850796270158, 'Online-Y': 0.5112365602464276, 'AISP-SJTU': 0.5150910263210877, 'comet_bestmbr': 0.4762721921473261, 'refA': 1.0, 'Online-W': 0.4908277505558673, 'LanguageX': 0.5289489120442898, 'HuaweiTSC': 0.5117722478539632, 'Online-B': 0.5222491926079735, 'bleu_bestmbr': 0.5310363503792815, 'Online-A': 0.5044957707190881, 'bleurt_bestmbr': 0.5260849494507791, 'Online-G': 0.5292243919520198, 'refB': 0.7273810337408597}"
ZeroEdit,0.7,0.616,0.492,0.529,zh-en,ecommerce,zh-en.refA.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refA.txt-ecommerce/results.csv,"{'Lan-Bridge': 0.0115830115830115, 'JDExploreAcademy': 0.0038610038610038, 'M2M100_1.2B-B4': 0.0019305019305019, 'Online-Y': 0.0057915057915057, 'AISP-SJTU': 0.0038610038610038, 'comet_bestmbr': 0.0057915057915057, 'refA': 1.0, 'Online-W': 0.0057915057915057, 'LanguageX': 0.0057915057915057, 'HuaweiTSC': 0.0019305019305019, 'Online-B': 0.0077220077220077, 'bleu_bestmbr': 0.0057915057915057, 'Online-A': 0.0057915057915057, 'bleurt_bestmbr': 0.0038610038610038, 'Online-G': 0.0077220077220077, 'refB': 0.1428571428571428}"
GLEU,0.775,0.656,0.687,0.55,zh-en,ecommerce,zh-en.refA.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refA.txt-ecommerce/results.csv,"{'Lan-Bridge': 0.6015521857556452, 'JDExploreAcademy': 0.605968789114922, 'M2M100_1.2B-B4': 0.5310044729708482, 'Online-Y': 0.598416387885686, 'AISP-SJTU': 0.6015578998237912, 'comet_bestmbr': 0.5830687248738232, 'refA': 1.0, 'Online-W': 0.5878988578864129, 'LanguageX': 0.6118215948839811, 'HuaweiTSC': 0.6015523068661557, 'Online-B': 0.6089296578095929, 'bleu_bestmbr': 0.6234351427447263, 'Online-A': 0.595303605996622, 'bleurt_bestmbr': 0.6120709941450732, 'Online-G': 0.6106168908992425, 'refB': 0.7682067551637356}"
Average,0.867,0.85,0.645,0.733,zh-en,ecommerce,zh-en.refA.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refA.txt-ecommerce/universal_metrics/average_ranks_systems.csv,"{'Lan-Bridge': 0.4527683345766879, 'JDExploreAcademy': 0.4530983920178192, 'M2M100_1.2B-B4': 0.3960288548696755, 'Online-Y': 0.4494853337205156, 'AISP-SJTU': 0.447947665970047, 'comet_bestmbr': 0.4482168518509667, 'refA': 0.9049672009007288, 'Online-W': 0.4263741216223254, 'LanguageX': 0.4570062021938952, 'HuaweiTSC': 0.44709159540086, 'Online-B': 0.4572431352345548, 'bleu_bestmbr': 0.4626536540405757, 'Online-A': 0.4372614708913836, 'bleurt_bestmbr': 0.4638842976789185, 'Online-G': 0.4616863422913319, 'refB': 0.5955011532556346}"
Median,0.792,0.7,0.632,0.583,zh-en,ecommerce,zh-en.refA.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refA.txt-ecommerce/universal_metrics/median_ranks_systems.csv,"{'Lan-Bridge': 0.5166384085752407, 'JDExploreAcademy': 0.5223537093472495, 'M2M100_1.2B-B4': 0.4391850796270158, 'Online-Y': 0.5112365602464276, 'AISP-SJTU': 0.5150910263210877, 'comet_bestmbr': 0.4762721921473261, 'refA': 1.0, 'Online-W': 0.4908277505558673, 'LanguageX': 0.5289489120442898, 'HuaweiTSC': 0.5117722478539632, 'Online-B': 0.5222491926079735, 'bleu_bestmbr': 0.5310363503792815, 'Online-A': 0.5044957707190881, 'bleurt_bestmbr': 0.5260849494507791, 'Online-G': 0.5292243919520198, 'refB': 0.6245692515993871}"
Social Choice Theory,0.775,0.7,0.854,0.55,zh-en,ecommerce,zh-en.refA.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refA.txt-ecommerce/universal_metrics/social-choice-theory_ranks_systems.csv,"{'Lan-Bridge': 87.0, 'JDExploreAcademy': 95.0, 'M2M100_1.2B-B4': 26.0, 'Online-Y': 70.0, 'AISP-SJTU': 77.0, 'comet_bestmbr': 60.0, 'refA': 140.0, 'Online-W': 43.0, 'LanguageX': 101.0, 'HuaweiTSC': 71.0, 'Online-B': 98.0, 'bleu_bestmbr': 120.0, 'Online-A': 56.0, 'bleurt_bestmbr': 97.0, 'Online-G': 94.0, 'refB': 133.0}"
Weighted Sum 12,0.867,0.868,0.89,0.733,zh-en,ecommerce,zh-en.refA.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refA.txt-ecommerce/universal_metrics/weighted-sum-seed-12-trials-1000_-1_1_ranks_systems.csv,"{'Lan-Bridge': 1.6580742571619225, 'JDExploreAcademy': 1.6420391147990483, 'M2M100_1.2B-B4': 1.5142225227549428, 'Online-Y': 1.652674396360398, 'AISP-SJTU': 1.633146332769637, 'comet_bestmbr': 1.7353398422653077, 'refA': 1.8265269979941616, 'Online-W': 1.5571369833066673, 'LanguageX': 1.647039969130392, 'HuaweiTSC': 1.635792228036533, 'Online-B': 1.6635993472893689, 'bleu_bestmbr': 1.6711131734847091, 'Online-A': 1.598652191401717, 'bleurt_bestmbr': 1.7200377104709448, 'Online-G': 1.6887033505697913, 'refB': 1.7193680058607448}"
