metric,System Accuracy,Pearson,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.908,0.687,zh-en,ecommerce,zh-en.refB.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refB.txt-ecommerce/results.csv,"{'Lan-Bridge': 0.1788147079810485, 'JDExploreAcademy': 0.1717775550627771, 'M2M100_1.2B-B4': -0.0481975768201959, 'Online-Y': 0.1434389828743851, 'AISP-SJTU': 0.146414500488594, 'comet_bestmbr': 0.1888504141247669, 'refA': 0.6209286052471163, 'Online-W': 0.0217741118181266, 'LanguageX': 0.1673452923601155, 'HuaweiTSC': 0.1313980738218859, 'Online-B': 0.1672999127579198, 'bleu_bestmbr': 0.1874195257728581, 'Online-A': 0.0750835804946533, 'bleurt_bestmbr': 0.2106741831923788, 'Online-G': 0.1896353072889552, 'refB': 1.325830801803633}"
BERTScore,0.867,0.727,zh-en,ecommerce,zh-en.refB.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refB.txt-ecommerce/results.csv,"{'Lan-Bridge': 0.921144075375266, 'JDExploreAcademy': 0.9217826834516636, 'M2M100_1.2B-B4': 0.9014601895017512, 'Online-Y': 0.918185128093226, 'AISP-SJTU': 0.9183200690967236, 'comet_bestmbr': 0.9204013229106844, 'refA': 0.958162516815782, 'Online-W': 0.91113082828669, 'LanguageX': 0.9204590492036812, 'HuaweiTSC': 0.9180620508304432, 'Online-B': 0.9220428318360596, 'bleu_bestmbr': 0.9230661724755204, 'Online-A': 0.9127814511995058, 'bleurt_bestmbr': 0.923112861783348, 'Online-G': 0.9206969240917664, 'refB': 0.999999995052124}"
TER,0.725,0.608,zh-en,ecommerce,zh-en.refB.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refB.txt-ecommerce/results.csv,"{'Lan-Bridge': -0.7212796488562505, 'JDExploreAcademy': -0.7238119355110999, 'M2M100_1.2B-B4': -0.7964041529501139, 'Online-Y': -0.7509918122731495, 'AISP-SJTU': -0.7330125770237191, 'comet_bestmbr': -0.7659323035367603, 'refA': -0.4054190934413775, 'Online-W': -0.7718409723980755, 'LanguageX': -0.7271883177175656, 'HuaweiTSC': -0.7468557440702287, 'Online-B': -0.7377395121127711, 'bleu_bestmbr': -0.7158774373259053, 'Online-A': -0.7654258462057905, 'bleurt_bestmbr': -0.7560563855828479, 'Online-G': -0.7524267747108973, 'refB': -0.0}"
BLEU,0.733,0.609,zh-en,ecommerce,zh-en.refB.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refB.txt-ecommerce/results.csv,"{'Lan-Bridge': 0.190710693837401, 'JDExploreAcademy': 0.1981221401265842, 'M2M100_1.2B-B4': 0.1214213136886682, 'Online-Y': 0.1783353841842059, 'AISP-SJTU': 0.1836831847966269, 'comet_bestmbr': 0.1558309261172598, 'refA': 0.5474626279791146, 'Online-W': 0.1564587121645471, 'LanguageX': 0.1968837805331336, 'HuaweiTSC': 0.1824797734230185, 'Online-B': 0.1945217447037559, 'bleu_bestmbr': 0.20368561403129, 'Online-A': 0.1638982543040376, 'bleurt_bestmbr': 0.1802318341985921, 'Online-G': 0.1872872176333403, 'refB': 1.0000000000000004}"
chrF,0.758,0.651,zh-en,ecommerce,zh-en.refB.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refB.txt-ecommerce/results.csv,"{'Lan-Bridge': 0.502628996469168, 'JDExploreAcademy': 0.5077765087480852, 'M2M100_1.2B-B4': 0.4255784235919069, 'Online-Y': 0.4887727461470533, 'AISP-SJTU': 0.4995024842019269, 'comet_bestmbr': 0.4588991455848893, 'refA': 0.7262563378928859, 'Online-W': 0.469489002578469, 'LanguageX': 0.5108428226621003, 'HuaweiTSC': 0.4927823620653032, 'Online-B': 0.5036024009291231, 'bleu_bestmbr': 0.5090341907364401, 'Online-A': 0.4847341747258225, 'bleurt_bestmbr': 0.504823512427747, 'Online-G': 0.5084652276130329, 'refB': 1.0}"
ZeroEdit,0.758,0.458,zh-en,ecommerce,zh-en.refB.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refB.txt-ecommerce/results.csv,"{'Lan-Bridge': 0.0077220077220077, 'JDExploreAcademy': 0.0057915057915057, 'M2M100_1.2B-B4': 0.0019305019305019, 'Online-Y': 0.0038610038610038, 'AISP-SJTU': 0.0019305019305019, 'comet_bestmbr': 0.0038610038610038, 'refA': 0.1428571428571428, 'Online-W': 0.0057915057915057, 'LanguageX': 0.0038610038610038, 'HuaweiTSC': 0.0019305019305019, 'Online-B': 0.0057915057915057, 'bleu_bestmbr': 0.0057915057915057, 'Online-A': 0.0057915057915057, 'bleurt_bestmbr': 0.0038610038610038, 'Online-G': 0.0077220077220077, 'refB': 1.0}"
GLEU,0.742,0.662,zh-en,ecommerce,zh-en.refB.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refB.txt-ecommerce/results.csv,"{'Lan-Bridge': 0.5868271566468363, 'JDExploreAcademy': 0.5948452092064846, 'M2M100_1.2B-B4': 0.5186440401178379, 'Online-Y': 0.5797745747851168, 'AISP-SJTU': 0.5886983353906758, 'comet_bestmbr': 0.5669589034432871, 'refA': 0.7682067551637356, 'Online-W': 0.5704527115584707, 'LanguageX': 0.5960405701200813, 'HuaweiTSC': 0.5848568530958766, 'Online-B': 0.5937057716199173, 'bleu_bestmbr': 0.6040456710552542, 'Online-A': 0.5759340272291659, 'bleurt_bestmbr': 0.5936600039888908, 'Online-G': 0.5929908180668548, 'refB': 1.0}"
Average,0.775,0.612,zh-en,ecommerce,zh-en.refB.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refB.txt-ecommerce/universal_results.csv,"{'Lan-Bridge': 0.4395943764549933, 'JDExploreAcademy': 0.4414849841920874, 'M2M100_1.2B-B4': 0.3783616467814935, 'Online-Y': 0.4270937880335212, 'AISP-SJTU': 0.4331898926624332, 'comet_bestmbr': 0.4192063150632496, 'refA': 0.6497129414129773, 'Online-W': 0.4074812634129529, 'LanguageX': 0.4406530792632131, 'HuaweiTSC': 0.4284221191694082, 'Online-B': 0.4379392427352215, 'bleu_bestmbr': 0.446207925664362, 'Online-A': 0.4164650510416533, 'bleurt_bestmbr': 0.4364242746104175, 'Online-G': 0.4370790105800832, 'refB': 0.9999999992931606}"
Median,0.758,0.651,zh-en,ecommerce,zh-en.refB.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refB.txt-ecommerce/universal_results.csv,"{'Lan-Bridge': 0.502628996469168, 'JDExploreAcademy': 0.5077765087480852, 'M2M100_1.2B-B4': 0.4255784235919069, 'Online-Y': 0.4887727461470533, 'AISP-SJTU': 0.4995024842019269, 'comet_bestmbr': 0.4588991455848893, 'refA': 0.7262563378928859, 'Online-W': 0.469489002578469, 'LanguageX': 0.5108428226621003, 'HuaweiTSC': 0.4927823620653032, 'Online-B': 0.5036024009291231, 'bleu_bestmbr': 0.5090341907364401, 'Online-A': 0.4847341747258225, 'bleurt_bestmbr': 0.504823512427747, 'Online-G': 0.5084652276130329, 'refB': 1.0}"
Social Choice Theory,0.767,0.842,zh-en,ecommerce,zh-en.refB.txt-ecommerce,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -3.677992277992277, 'JDExploreAcademy': -3.783976833976833, 'M2M100_1.2B-B4': -9.366602316602318, 'Online-Y': -4.159652509652508, 'AISP-SJTU': -5.029536679536675, 'comet_bestmbr': -3.809845559845557, 'refA': -1.4237451737451747, 'Online-W': -5.760231660231653, 'LanguageX': -4.295752895752894, 'HuaweiTSC': -5.204054054054052, 'Online-B': -3.9812741312741298, 'bleu_bestmbr': -4.215830115830115, 'Online-A': -5.389768339768335, 'bleurt_bestmbr': -3.547876447876448, 'Online-G': -3.7276061776061775, 'refB': -1.6876447876447882}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/ecommerce/nlp-telescope-scores/zh-en-ecommerce/zh-en.refB.txt-ecommerce/universal_results.csv,"{'Lan-Bridge': 95.0, 'JDExploreAcademy': 105.0, 'M2M100_1.2B-B4': 27.0, 'Online-Y': 66.0, 'AISP-SJTU': 79.0, 'comet_bestmbr': 57.0, 'refA': 133.0, 'Online-W': 41.0, 'LanguageX': 102.0, 'HuaweiTSC': 69.0, 'Online-B': 96.0, 'bleu_bestmbr': 116.0, 'Online-A': 55.0, 'bleurt_bestmbr': 94.0, 'Online-G': 94.0, 'refB': 140.0}"
