metric,System Accuracy,Pearson,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.733,0.333,zh-en,social,zh-en.refB.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refB.txt-social/results.csv,"{'Lan-Bridge': 0.2228524298342333, 'JDExploreAcademy': 0.2419939275144064, 'M2M100_1.2B-B4': 0.0771236949346619, 'Online-Y': 0.2004104290346413, 'AISP-SJTU': 0.2406978003678854, 'comet_bestmbr': 0.2201279440485533, 'refA': 0.2846354800202397, 'Online-W': 0.1281420406570684, 'LanguageX': 0.238773910738861, 'HuaweiTSC': 0.2094767094223165, 'Online-B': 0.2103685491401739, 'bleu_bestmbr': 0.2337261275304981, 'Online-A': 0.169547114640689, 'bleurt_bestmbr': 0.2595313430882279, 'Online-G': 0.2387735775873716, 'refB': 1.2715067874129202}"
BERTScore,0.708,0.351,zh-en,social,zh-en.refB.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refB.txt-social/results.csv,"{'Lan-Bridge': 0.9260231936665226, 'JDExploreAcademy': 0.928734884465902, 'M2M100_1.2B-B4': 0.9145628469838774, 'Online-Y': 0.9231718990722186, 'AISP-SJTU': 0.9277713743166232, 'comet_bestmbr': 0.9231706901525644, 'refA': 0.9316698658774436, 'Online-W': 0.917767617503407, 'LanguageX': 0.927515019360878, 'HuaweiTSC': 0.9254191482280404, 'Online-B': 0.9267051795841922, 'bleu_bestmbr': 0.9268291253692824, 'Online-A': 0.9231599358393704, 'bleurt_bestmbr': 0.927099209182542, 'Online-G': 0.9270813607316368, 'refB': 1.000000003554949}"
TER,0.717,0.257,zh-en,social,zh-en.refB.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refB.txt-social/results.csv,"{'Lan-Bridge': -0.6908528439850946, 'JDExploreAcademy': -0.6816424101806934, 'M2M100_1.2B-B4': -0.7487168670463334, 'Online-Y': -0.7359910004921606, 'AISP-SJTU': -0.6844547563805105, 'comet_bestmbr': -0.7447795823665894, 'refA': -0.6737678408212051, 'Online-W': -0.7561695844758489, 'LanguageX': -0.6949307459748294, 'HuaweiTSC': -0.7105392673838149, 'Online-B': -0.7094846375588834, 'bleu_bestmbr': -0.698446178724601, 'Online-A': -0.7240385291429375, 'bleurt_bestmbr': -0.7189059973282711, 'Online-G': -0.7138437741686002, 'refB': -0.0}"
BLEU,0.65,0.234,zh-en,social,zh-en.refB.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refB.txt-social/results.csv,"{'Lan-Bridge': 0.2044995839081859, 'JDExploreAcademy': 0.2176903569811291, 'M2M100_1.2B-B4': 0.1648026124688353, 'Online-Y': 0.1887204604643193, 'AISP-SJTU': 0.214561159223165, 'comet_bestmbr': 0.15907653980529, 'refA': 0.2353626639179685, 'Online-W': 0.1739896802582212, 'LanguageX': 0.212349801433555, 'HuaweiTSC': 0.2085497168115177, 'Online-B': 0.2097689305969192, 'bleu_bestmbr': 0.2079482537278108, 'Online-A': 0.1960151110932503, 'bleurt_bestmbr': 0.1945896972524149, 'Online-G': 0.2104516043592499, 'refB': 1.0000000000000004}"
chrF,0.667,0.274,zh-en,social,zh-en.refB.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refB.txt-social/results.csv,"{'Lan-Bridge': 0.5196611562211793, 'JDExploreAcademy': 0.5341112314771126, 'M2M100_1.2B-B4': 0.47252437618817, 'Online-Y': 0.5117012176853245, 'AISP-SJTU': 0.5319158441673316, 'comet_bestmbr': 0.4618776868961339, 'refA': 0.5418946123224453, 'Online-W': 0.4908140523971863, 'LanguageX': 0.5311984422348419, 'HuaweiTSC': 0.5181357252248809, 'Online-B': 0.5232266692488985, 'bleu_bestmbr': 0.5223697023044908, 'Online-A': 0.5119621894098696, 'bleurt_bestmbr': 0.5186135422330764, 'Online-G': 0.531154185869344, 'refB': 1.0}"
ZeroEdit,0.633,0.179,zh-en,social,zh-en.refB.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refB.txt-social/results.csv,"{'Lan-Bridge': 0.003976143141153, 'JDExploreAcademy': 0.0079522862823061, 'M2M100_1.2B-B4': 0.0, 'Online-Y': 0.0, 'AISP-SJTU': 0.003976143141153, 'comet_bestmbr': 0.0, 'refA': 0.0139165009940357, 'Online-W': 0.0019880715705765, 'LanguageX': 0.0079522862823061, 'HuaweiTSC': 0.0019880715705765, 'Online-B': 0.0019880715705765, 'bleu_bestmbr': 0.0019880715705765, 'Online-A': 0.0019880715705765, 'bleurt_bestmbr': 0.0019880715705765, 'Online-G': 0.003976143141153, 'refB': 1.0}"
GLEU,0.65,0.285,zh-en,social,zh-en.refB.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refB.txt-social/results.csv,"{'Lan-Bridge': 0.5969868549630717, 'JDExploreAcademy': 0.6147247015299403, 'M2M100_1.2B-B4': 0.5560352316396576, 'Online-Y': 0.586056252093905, 'AISP-SJTU': 0.6102359984690092, 'comet_bestmbr': 0.5687857838958039, 'refA': 0.6240455764955292, 'Online-W': 0.5837095770055913, 'LanguageX': 0.6104080295897545, 'HuaweiTSC': 0.6005403775409047, 'Online-B': 0.5973639858255526, 'bleu_bestmbr': 0.6059402597796966, 'Online-A': 0.5917223630060401, 'bleurt_bestmbr': 0.5967159095901989, 'Online-G': 0.6066869078512261, 'refB': 1.0}"
Average,0.683,0.254,zh-en,social,zh-en.refB.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refB.txt-social/universal_results.csv,"{'Lan-Bridge': 0.4531029004045906, 'JDExploreAcademy': 0.4632240020447001, 'M2M100_1.2B-B4': 0.4139671496716483, 'Online-Y': 0.4391234347629896, 'AISP-SJTU': 0.4606220947315306, 'comet_bestmbr': 0.4254564414867828, 'refA': 0.4736341598280482, 'Online-W': 0.4251672049410954, 'LanguageX': 0.4591256840422767, 'HuaweiTSC': 0.4498331609576091, 'Online-B': 0.4506789248339061, 'bleu_bestmbr': 0.4547846139703579, 'Online-A': 0.4407975284423591, 'bleurt_bestmbr': 0.4499808720063788, 'Online-G': 0.454984745225385, 'refB': 1.0}"
Median,0.667,0.274,zh-en,social,zh-en.refB.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refB.txt-social/universal_results.csv,"{'Lan-Bridge': 0.5196611562211793, 'JDExploreAcademy': 0.5341112314771126, 'M2M100_1.2B-B4': 0.47252437618817, 'Online-Y': 0.5117012176853245, 'AISP-SJTU': 0.5319158441673316, 'comet_bestmbr': 0.4618776868961339, 'refA': 0.5418946123224453, 'Online-W': 0.4908140523971863, 'LanguageX': 0.5311984422348419, 'HuaweiTSC': 0.5181357252248809, 'Online-B': 0.5232266692488985, 'bleu_bestmbr': 0.5223697023044908, 'Online-A': 0.5119621894098696, 'bleurt_bestmbr': 0.5186135422330764, 'Online-G': 0.531154185869344, 'refB': 1.0}"
Social Choice Theory,0.675,0.664,zh-en,social,zh-en.refB.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",telescope/universal_metrics/calcalute_evaluation/data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refB.txt-social/universal_results.csv,"{'Lan-Bridge': 85.0, 'JDExploreAcademy': 123.0, 'M2M100_1.2B-B4': 27.0, 'Online-Y': 54.0, 'AISP-SJTU': 114.0, 'comet_bestmbr': 41.0, 'refA': 133.0, 'Online-W': 36.0, 'LanguageX': 111.0, 'HuaweiTSC': 78.0, 'Online-B': 87.0, 'bleu_bestmbr': 91.0, 'Online-A': 59.0, 'bleurt_bestmbr': 85.0, 'Online-G': 97.0, 'refB': 140.0}"
